"Project","Text","SDG","Target"
"P079032","strengthening social protection consumers poor adequately protected rising tariffs inadequate targeting funding social assistance programs subsidies paid victimizes consumers adversely affects financial viability cs providers compensated subsidizing household tariffs administration targeted social assistance benefits fragmented limits effectiveness housing allowances","SDG 1","SDG 1.3"
"P079032","strengthening social protection hcs consumers poor adeauatelv protected rising tariffs","SDG 1","SDG 1.3"
"P079032","subsurface water intake facilities","SDG 6","SDG 6.4"
"P079032","agencies pius advantage skilled consultants reliable suitable standalone computerized information systems","SDG 16","SDG 16.10"
"P079032","impacts include permanent temporary withdrawal additional land sites cutting vegetation air pollution wastewater discharges polluted storm water runoff construction period generation construction wastes negative impacts physical factors including increased noise levels potential exposure workers asbestos materials","SDG 12","SDG 12.4"
"P079032","supervision reform phase concentrate monitoring reforms stages project concentrate efficient implementation investment plans including fiduciary safeguards aspects","SDG 11","SDG 11.b"
"P079032","surface water intake facilities volume day","SDG 6","SDG 6.4"
"P079032","sustainability sustainabilitv implemented reforms investments","SDG 17","SDG 17.5"
"P079032","system rehabilitation modernization reduce costs improve service quality increase consumerorientation metering consumer control supply","SDG 3","SDG 3.8"
"P079032","system rehabilitation introduction modern technology considerably reduce cost improve quality service delivery","SDG 17","SDG 17.8"
"P079032","regulation reviewed account investment costs","SDG 17","SDG 17.5"
"P079032","table list eligible investments","SDG 17","SDG 17.5"
"P079032","table minimum criteria participation contest rn cost recovery level housing communal services percent collection rate hcs payments percent ratio local budget current expenditures local budget revenues ratio local budget deficit local budget revenues federal regional financial assistance percent ratio municipal debt local budget revenues financial assistance governments percent ratio municipalitys debt service local budget expenditures percent municipality region overdue debt federal budget loans guarantees ratio regional budget current expenditures regional budget revenues percent ratio regional budget deficit regional budget revenues federal financial assistance percent ratio regional public debt regional budget revenues financial assistance governments percent ratio regions public debt service regional budget expenditures percent criteria table assessing reform status selection process focus main improving financial viability communal services providers assessment criteria focus breaking vicious cycle revenues bad services improving cost recovery ii reducing existing arrears governments service providers iii linking collection payments directly services provided iv service providers autonomous accountable strengthening social protection consumers assessment criteria focus improving targeting coverage efficiency hcs subsidies ensuring payment subsidies cash paid ii consolidation program administration targeted social assistance benefits including housing allowances creating market competition housing management maintenance assessment criteria focus improving management maintenance repair multifamily buildings iencouraging buildinglevel collective management structures ii creating market competition building maintenance current capital repair iii fostering tenantowner awareness rights responsibilities iv clarifying rights obligations land plots","SDG 1","SDG 1.3"
"P079032","tangible positive results providing adequate investments service mprovements participating cities","SDG 11","SDG 11.6"
"P085375","risk risks risk mitigation measures rating manipulation community community level process poverty targeting project decisionmaking gender equity transparent verifiable stakeholders exclusion vulnerable people including community fund capsthat women poorest meet gender equity poverty targeting criteria","SDG 1","SDG 1.2"
"P085375","rural consumers consistently offered voice choice decisions related establishing managing services paying","SDG 16","SDG 16.7"
"P085375","safeguard policies safeguard policies triggered project environmental assessment opbpgp","SDG 17","SDG 17.13"
"P085375","safeguard policies project classified category lead significant adverse social environmental impacts community based approach provision water supply sanitation","SDG 11","SDG 11.6"
"P085375","safeguards policies environmental assessment indigenous people triggered project","SDG 10","SDG 10.7"
"P085375","safeguards systems procedures reviewed revised suitable mid term","SDG 16","SDG 16.10"
"P085375","salient information contracts implementation progress project related workshops activities included reports","SDG 16","SDG 16.10"
"P085375","sanitarians health pmd","SDG 3","SDG 3.c"
"P085375","sanitation hygiene marketing health office","SDG 6","SDG 6.2"
"P085375","sanitation hygiene marketing health oflce","SDG 6","SDG 6.2"
"P085375","sanitation hygiene marketing moh developing guidelines prototypal design provincial marketlconsumerlsupplierstudies guidelines supply chain building based international experiences vietnam india bangladesh provincial sanitation hygiene demandgenerationcampaigns technical assistance implementation sanitation hygiene marketing provinces districts","SDG 6","SDG 6.2"
"P085375","sanitation awareness hygiene uromotion carmaims local governments create increase demand sanitation services increase public political support sanitation improvements raise awareness lowcost sanitation products promote adoption key hygiene behaviours reduce disease transmission","SDG 6","SDG 6.2"
"P085375","sanitation facilities constructed schools participating communities","SDG 6","SDG 6.2"
"P085375","sanitation hygiene marketing program sanitation hygiene social marketing program aims generate consumer demand improved sanitation facilitate local markets respond demand promotion improved hygiene behaviours","SDG 6","SDG 6.2"
"P085375","sanitation market consumer suuulier research studies support province conduct detailed examinations local hygiene behaviours sanitation supply chains communication channels target study","SDG 6","SDG 6.2"
"P085375","scaling policy reform requires linking waspola investment projects required capacity funding leverage scale","SDG 17","SDG 17.5"
"P085375","school based hygiene promotion target school communities including children teachers parents","SDG 16","SDG 16.2"
"P085375","school hygiene sanitation health ofice collaboration national education ofice","SDG 6","SDG 6.2"
"P085375","school hygiene sanitation health ofice colzaboration education ofice","SDG 6","SDG 6.2"
"P085375","school hygiene sanitation moh collaboration mone","SDG 6","SDG 6.2"
"P085375","school hygiene sanitation program subcomponent includes main activities school sanitation hygiene facilities school based hygiene promotion district workshops school hygiene sanitation school sanitation hygiene facilities community grant construction school sanitation hygiene facilities community","SDG 6","SDG 6.2"
"P085375","bank valuable global indonesian experience water sanitation hygiene improvements wslic projects kdp upp","SDG 6","SDG 6.2"
"P085375","project allocated adequate resources advocacy coalition formation capacity building activities support pamslmas expansion target","SDG 17","SDG 17.19"
"P085375","selection briefing processes obtain direct assistance cpmu team observers procurement process integrity pact laid keppres subject severe legal sanctions national civil law found influence process favor supplierlprovider","SDG 14","SDG 14.c"
"P085375","selection project negotiation selected villages based locations village selecting village poverty water sanitation demand executing agency district community","SDG 6","SDG 6.2"
"P085375","services provided topdown manner agencies external community public sector donor funds contractors answerable government agencies users services","SDG 17","SDG 17.17"
"P085375","projects indonesia funded donors agencies supported community water supply sanitation basic health services funded projects wsslic wslic village infrastructure project iand kecamatan development project iand urban poverty project","SDG 6","SDG 6.2"
"P085375","significant damage countrys future potential terms infant mortality child malnutrition lowincome indonesia greatly inadequate access safe water basic sanitation","SDG 6","SDG 6.2"
"P085375","similar activities tended highly vulnerable fraud past additional measures deemed prudent","SDG 9","SDG 9.b"
"P085375","similarly pamsimas receive data reporting waspolmampl maintain twoway flow information dialogue common harmonized approach data collection monitoring evaluation developed waspola adopted pamsimas step developing harmonized sector wide methodology track effectiveness policy implementation achievement wses goals","SDG 16","SDG 16.10"
"P085375","similarly villages demonstrated average performance implementation project eligible economic development grant","SDG 17","SDG 17.13"
"P085375","simple guidelines fof accounting community village implementation manual","SDG 10","SDG 10.6"
"P085375","simultaneously corruption reported channeled existing system bank","SDG 16","SDG 16.10"
"P085375","decentralization local governments typically invested percent annual budgets water supply sanitation improving hygiene practices","SDG 6","SDG 6.2"
"P085375","designed launched post decentralization era primarily capacity building initiative scaling wss services meet mdg targets local governments","SDG 17","SDG 17.19"
"P085375","pamsimas designed launched post decentralization era designed capacity building initiative aimed local governments","SDG 17","SDG 17.19"
"P085375","pamsimas essentially mainstreaming scaling wslic appropriately adapting current realities lessons learned cdd projects kdp upp review intended determine conclusions analyses remain valid assessing economics pamsimas adjusted","SDG 13","SDG 13.1"
"P085375","socioeconomic incentive undertake gender analysis developing operations fund funds assess costshenefits women","SDG 5","SDG 5.5"
"P085375","correspondence documents periodic aide memoires bank borrower considered confidential parties agree key project documents public reduce corruption risks","SDG 17","SDG 17.17"
"P085375","evaluation capacity indonesias universities considerable advantage linking international institute experience implementing type study rcl ps ril vr pi vr ci yq","SDG 10","SDG 10.6"
"P085375","quality md sector budgets left communities mismanaged level corruption risks olved contracting civil savings unannounced village level grants facilitation discounts","SDG 16","SDG 16.5"
"P085375","proceeds economic output committed om facilities provided expansionheplacement systems ensuring longterm sustainability wss services","SDG 16","SDG 16.10"
"P085375","documentation summarized provide access key information","SDG 16","SDG 16.10"
"P085375","tribes rejected modern systems deeply hierarchical village structure unique identities exclude development planning process benefit project","SDG 11","SDG 11.a"
"P085375","special actions ensure voices heard elite ip included decision process","SDG 16","SDG 16.7"
"P085375","special opportunity events created ensure fair community decision process elite vulnerable population","SDG 16","SDG 16.7"
"P085375","special phantom facilitators efforts athers monitor supervise inputs ensure abused","SDG 3","SDG 3.5"
"P085375","specifically supports villages preparation community action plans based informed choices community water supply hygiene behavior project approach highlights disclosure increased awareness low income communities","SDG 13","SDG 13.3"
"P085375","specifically pamsimas support activities development national action plan wss consolidation past fragmented approaches ultimately sector wide program swap annex replication program participating districts agree implement minimum cdd programs funds addition pamsimas funded program","SDG 9","SDG 9.b"
"P085375","standard operating procedures environmental management defined project technical guidelines lay design specifications construction procedures operation maintenance procedures rural water sanitation systems sufficient manage environmental concerns provided guidelines supervision corrects implementation mistakes promptly","SDG 6","SDG 6.2"
"P085375","steep slopes projects impact environmentally sensitive apply special conditions siting design water supply schemes detailed project technical manual","SDG 6","SDG 6.4"
"P085375","steer sectors water supply health sector managermirector fadia","SDG 6","SDG 6.4"
"P085375","strengthening local peormance health ofice collaboration bappeda","SDG 3","SDG 3.c"
"P085375","strengthening local institutional performance moh moha","SDG 16","SDG 16.6"
"P085375","strengthening local sanitation hygiene units subcomponent aims strengthen district level capacities providing support province district units responsible environmental health hygiene promotion","SDG 6","SDG 6.2"
"P085375","strengthening urban waste management policies strategies quoted badan pusat statistik republic indonesia","SDG 12","SDG 12.5"
"P085375","strengthening systems monitoring mdg progress water sanitation enable agencies address shortfalls service delivery","SDG 6","SDG 6.2"
"P085375","strengthennglocal institutionaz peomance health ofice collaboration pmd","SDG 3","SDG 3.c"
"P085375","component focus strengthening program management project implementing units project coordination cap evaluation teams related programs","SDG 16","SDG 16.1"
"P085375","subcomponenf aims generate consumer demand improved sanitation ii facilitate ability local markets respond demand iii promote improved hygiene behavior","SDG 6","SDG 6.2"
"P085375","subcomponent support phased program communityled total sanitation clts commencing safe excreta management promotion hand washing address issues water storage food hygiene solid waste wastewater management","SDG 6","SDG 6.2"
"P085375","subcomponent support capacity building advocacy activities government civil society improve water sanitation service delivery encourage increases reallocations local government budgets cdd wss efforts promote post construction innovations enhance sustainability pamsimassupported wss services longrun","SDG 6","SDG 6.2"
"P085375","subcomponent description component community empowerment institutional capacity building subcomponents implementation cdd processes community level strengthening capacities program management strengthening capacities program sustainability mainstreamingand scaling subcomponent","SDG 16","SDG 16.6"
"P085375","subcomponent description component sanitation hygiene improvement distributedamong subcomponents total sanitation program sanitation hygiene marketing program school hygiene sanitation program strengthening local sanitation hygiene units subcomponent","SDG 6","SDG 6.2"
"P085375","public promptly request publicly publish widely contract award information contracts promptly award promptly request person company contracts awarded months preceding date request respect project including providersupplierconsultant contract amount bidderslproposals procurement method purpose contract","SDG 17","SDG 17.17"
"P085375","support project implementation cover technical assistance sectoral activities training capacity building health sanitation water supply village district provincial central levels government ii project management implementation oversight quality control financial technical monitoring reporting project components iiithe evaluation project outcomes iv progressive transfer functions responsibilities local agencies","SDG 6","SDG 6.2"
"P085375","sustainability monitoring carried periodically community level implementation processes measure progress project outcomes","SDG 17","SDG 17.19"
"P085375","sustainability rural water supply sanitation infrastructure rural indonesia history communitymanaged water supply services naturally occurring springs rainwater groundwater sources","SDG 6","SDG 6.2"
"P085375","sustainability wss facilities outcomes results effective functioning technical effective social equity hygiene behavior water supply sanitation systems","SDG 6","SDG 6.2"
"P085375","sustainability planning monitoring community water supply sanitation","SDG 6","SDG 6.2"
"P085375","sustainability project addresses issue sustainability dimensions","SDG 1","SDG 1.2"
"P085375","implementation support national cmac estimated million hired ministry public mpw central level provincial management advisory consultants pmac million hired provincial levels","SDG 17","SDG 17.17"
"P085375","achieve mdg additional million people access improved water sanitation services table annex annual cost billion optimistic estimate current annual spending million spent urban","SDG 6","SDG 6.2"
"P085375","answer question previouslyconducted economic analyses wslic reviewed wslic pad cost benefit investing water sanitation hygiene wsh improvements based cdd approach bappenasasem cdd study","SDG 6","SDG 6.2"
"P085375","table proposed water supply technology options pamsimas operation maintenance repair construction cft conduct onthejob training operation maintenance om organization preferably composed vit community operation maintenance covering regular checking component iiperiodic maintenance components iii repairs breakdown maintenance","SDG 6","SDG 6.4"
"P085375","tahun tentang pemerintahan daerah ministry health ri asian development bank","SDG 3","SDG 3.8"
"P085375","tahun tentang pengembangan sistem penyediaanair minum laws","SDG 14","SDG 14.c"
"P085375","targeted communities gain access improved rural periurban water supply sanitation services manage sustain effectively","SDG 6","SDG 6.2"
"P085375","targeted communities progressively adopted key hygiene practices","SDG 6","SDG 6.2"
"P085375","technical assistance support provided project system design construction commissioning operation","SDG 16","SDG 16.10"
"P085375","technical assistance determine water demand system options engineering design options operational maintenance training water source assessment financed component","SDG 6","SDG 6.4"
"P085375","technical project adopt technologies methodologies proven effectiveness attaining project objectives","SDG 17","SDG 17.8"
"P085375","terms trade balance payments current account balance gdp usmillions exports services imports services resource balance net income net current transfers current account balance financing items net net reserves gs sa memo reserves including gold millions conversion rate dec lmws","SDG 17","SDG 17.12"
"P085375","project manuals project ensure information dissemination reach villages participating district communities aware program","SDG 13","SDG 13.3"
"P085375","affected parties informed project donate land pressure","SDG 11","SDG 11.5"
"P085375","analysis project benefits equitably distributed health services distribution income indonesia","SDG 6","SDG 6.2"
"P085375","assistance management consultants mitigate risk project involve block grants community amounting estimated million","SDG 13","SDG 13.a"
"P085375","bappenasasem analysis estimated irr wslic pad include expected health benefits wslic reflected economic savings time commercial water purchases","SDG 6","SDG 6.4"
"P085375","beneficiary communities contribute percent investment cost community action plans","SDG 17","SDG 17.5"
"P085375","boundaries tarakan pematangsiantar sea paci colors denominations information shown simeulue oce map imply morotai manado singapore judgment legal status territory nias tanjungpinang ternate halmahera endorsement pekanbaru acceptance pontianak al im antan tan gorontalo waigeo boundaries","SDG 16","SDG 16.9"
"P085375","campaigns segmented address influence priorities attitudes behaviours target identified research studies funding implementation models","SDG 9","SDG 9.5"
"P085375","campaigns advocate investment sanitation hygiene improvement targeting local decisionmakers including politicians administrators government officials community leaders health service providers local trendsetters role models","SDG 6","SDG 6.2"
"P085375","cap comprise detailed engineering designs water periurban sanitation infrastructure social map existing access poor nonpoor households wss facilities planned improvement wss facilities funded project budget planning construction physical including breakdown community government contributions action plan defining village labor contracted proposed payment arrangements procurement schedule implementation agreement","SDG 6","SDG 6.2"
"P085375","cap include key behavior promoted community action plan purpose school sanitation capacity building plans community management community monitoring essential features community process include facilitation methodology participatory assessmentslparticipatory hygiene sanitation transformation mpaphast clts trained community facilitators inclusion women poor assured approach supported project policy specific training monitoring","SDG 6","SDG 6.2"
"P085375","capacity provincial district governments carry procurement consultants goodslservices worse","SDG 17","SDG 17.19"
"P085375","cdd approach providing villages water supply comparison traditional topdown approach stimulates community ownership increases participation women poor marginalized prospects sustainability","SDG 6","SDG 6.4"
"P085375","central executing agency ministry public","SDG 17","SDG 17.17"
"P085375","central executing agency ministry public","SDG 17","SDG 17.17"
"P085375","cf sanitation health promotion responsible community level data gathering sanitationprogram","SDG 6","SDG 6.2"
"P085375","cfs provided provincial management advisory consultants resources contracts cover cf costs including extensive training requirements","SDG 2","SDG 2.a"
"P085375","cfs informed choice catalogues water supply sanitation options discuss options communities","SDG 6","SDG 6.2"
"P085375","cfts facilitate informed choice communities widely discussion options costs community","SDG 16","SDG 16.10"
"P085375","challenge sector policy effectively translated action scale local governments leveraging pooling ongoing flow funds synergistically sector development sources including government private sector user communities external support agencies","SDG 17","SDG 17.17"
"P086592","rsus ii supporting pidm activities including related watersector studies access credit leasing resources iii enhancing mom activities including watermonitoring tools","SDG 16","SDG 16.1"
"P086592","scaling water boards user federations encouraged","SDG 6","SDG 6.4"
"P086592","irrigation drainage improvement project turkmenistan di subproject spas covered idip aj ik tan subproject spas planned idip project oblasts selected cities towns azkh san oblast capitals cr epu bi national capital sl af raepn dbyt mdeýg unf","SDG 11","SDG 11.6"
"P086592","rehabilitated idip wrmlip operated efficiently farmers pay electricity costs understand optimize operation result planned benefits achieved","SDG 7","SDG 7.3"
"P086592","sectoral institutional context","SDG 16","SDG 16.6"
"P086592","organigram annex ownershipleasing om costrecovery mechanisms scheme maintenance machinery ii demonstrations farmers project spas machines techniques advisory facility farmers enable access credit leasing schemes farm machinery purchaselease","SDG 8","SDG 8.10"
"P086592","sensitivity analysis conducted variables significantly affect economic viability variables considered risk change included project cost increase percent project benefit decrease percent delay project benefits","SDG 11","SDG 11.5"
"P086592","shares canals drains allocated proportion relevant total length liabilities share distribution individuals elected share liabilities land share shareout","SDG 15","SDG 15.3"
"P086592","shynikent central office consultants including engineering design construction supervision team component institutional development team charged developing training sus rccs component agricultural development team charged farmers participatory training demonstrations set running fscs component","SDG 2","SDG 2.b"
"P086592","similar arrangements apply project agricultural development activities","SDG 2","SDG 2.b"
"P086592","kazakhstans irrigated shrunk due deteriorated id systems estimates percent total developed irrigation albeit low operating water efficiency","SDG 6","SDG 6.4"
"P086592","farms privatized systems ownership clearer permitting formulation suitable costrecoverysharing arrangements participatory approach farmers rccs identify influence rehabilitation agenda resources allocation decisionmaking implementation monitoring","SDG 17","SDG 17.17"
"P086592","land leases conditional land capacity inability pay isf result loss land rights","SDG 12","SDG 12.3"
"P086592","issues related capacity willingness pay explored figures based actual rehabilitation om cost agreed cost recovery percentage fee level water users schemebyscheme basis","SDG 6","SDG 6.4"
"P086592","social assessment findings issues project approaches arrangements ensuring achieving social community protection enhancement detailed annex implementation arrangements specific safeguard aspects discussed conjunction environmental safeguards","SDG 1","SDG 1.3"
"P086592","soil salinity alkalinity forced land production south kazakhstan kyzylorda oblasts","SDG 15","SDG 15.3"
"P086592","commodities traded internationally absence obvious distortion conversion rate percent applied melon potatoes","SDG 9","SDG 9.b"
"P086592","experienced fm staff left creating capacity gap","SDG 17","SDG 17.19"
"P086592","spa irrigation systems linked served dams river structures identified assessed safety performance project preparation","SDG 16","SDG 16.10"
"P086592","spas larger command infrastructure systems rehabilitated","SDG 16","SDG 16.10"
"P086592","sovkhoz farm stateowned farm financed","SDG 12","SDG 12.3"
"P086592","specifically idip directly contribute meeting government strategic plan development terms improving public spending irrigation drainage raising agricultural competitiveness rural employment reducing negative environmental externalities water subsidies","SDG 2","SDG 2.b"
"P086592","specifically assistance enable rcc farmers analyze water crop crop yield information","SDG 6","SDG 6.4"
"P086592","sr water resources team lead ecsar abdel ghany spec","SDG 6","SDG 6.4"
"P086592","stakeholders include cwr rse cses local governments apcs agrobusiness agromarketing organizations agricultural companies rccs farmers associations","SDG 2","SDG 2.b"
"P086592","strategic crops cotton rice sugar beet fodder depend irrigation wide spread deterioration irrigation drainage id systems due inadequate maintenance constrain agricultural productivity south agriculture potentially highly profitable","SDG 17","SDG 17.6"
"P086592","strengthening farmers capacity","SDG 17","SDG 17.19"
"P086592","strengthening farmers capacity","SDG 17","SDG 17.19"
"P086592","strengthening participation women","SDG 5","SDG 5.5"
"P086592","strengthening farmerscapacity conduct participatory training specific target agrotechnical fields farmers organizations sustainable land management ii implement improved sustainable agronomic practices onfarm water management demonstration plots spas iii supporting agrocooperatives including establishing strengthening enabling farmers services centers fscs","SDG 15","SDG 15.3"
"P086592","support operation rccs improve mom id systems","SDG 16","SDG 16.10"
"P086592","sufficient timely reliable supply water users result restored sustained id infrastructure sustainable mom","SDG 6","SDG 6.4"
"P086592","support irrigation system farm mechanization farm mechanization construction machinery onfarm maintenance irrigation drainage infrastructuresystems","SDG 16","SDG 16.10"
"P086592","support irrigation system farm mechanization","SDG 16","SDG 16.10"
"P086592","support irrigationsystem farmmechanization demonstrate machinery farmlevel id system maintenance rccs contractors strengthening related advisory facilities investigate options ownership om cost recovery mechanisms system maintenance machinery ii demonstrate farm machines techniques farmers spas strengthening related advisory facilities facilitate farmers access credit leasing schemes farm machinery","SDG 16","SDG 16.1"
"P086592","support main system service providers","SDG 16","SDG 16.10"
"P086592","support provided promote raise awareness rccs media quarterly newsletter training videos related rcc functions ii budget preparation setting isf iii sustainable om procedures iv water management","SDG 13","SDG 13.3"
"P086592","surveys required project effecting change patterns water distribution service fee collection levels incidence water logging salinisation farmer attitudes service levels farmer knowledge levels access machinery credit farm machinery","SDG 6","SDG 6.4"
"P086592","sustainability","SDG 12","SDG 12.8"
"P086592","sustainable water management activities land leveling planning optimum field irrigation water monitoring soil moisture measurement irrigation scheduling evaporation measurement knowledge soil structure features onfarm discharge measurement topics implemented participation international water management institute iwmi institute irrigation water management taraz","SDG 15","SDG 15.3"
"P086592","system performance poor wateruse efficiency low water supply distribution unreliable intention serve farmers reducing irrigations season","SDG 6","SDG 6.4"
"P086592","systems agricultural development","SDG 2","SDG 2.b"
"P086592","systems rice intensification sri","SDG 16","SDG 16.10"
"P086592","table cotton prices international market prices paid producers","SDG 2","SDG 2.c"
"P086592","table farm holdings estimated households project farm holdings ha farm holdings ha total spa size estimated estimated average estimated estimated estimated ha average total size total hhs size ha ha ha ha hhs hhs makhtaraal kyzylkum ary turkestan kyzylorda tasotkel kapal gmc malaisarinsky akdala bac total","SDG 12","SDG 12.3"
"P086592","table farm holdings total phase spa farm holdings spa farm holdings subproject spa raions farming spa ha ha families ha farming entire entire raions ha families project phase project phase","SDG 12","SDG 12.3"
"P086592","table indicative estimated costs id system civil subproject base base total total oblast spa reference rehabilitation cost rehabilitation cost ha cost estimate ha cost estimate haus south makhtaarali kazakhstan makhtaaralii kyzylkumi arys turkestani kyzylorda kyzylordai zhambyl pmk tasotkel kapal gmc almaty malaisarinsky akdala baci total base costs spas including overhead profit design supervision administration added tax vat physical contingencies total cost spas picecotigecie exluin names correspond smec fs contract planning phasing","SDG 17","SDG 17.6"
"P086592","table program implementation physical rehabilitation components ref project total idip idip oblast raion projects ha ha ha south kazakhstan makhtaaral makhtaarali makhtaaral makhtaaraljj shardara arys kyzylkumi turkestan arys turkestanj kyzylorda zhalagash syr darya kyzylordai zhambyl baizakh utemis shu pmk tasotkel zhambyl kapal merke shucanal bsc kordai gmc almaty talgar malaisarinsky balhash akdala taldykurgan karatal enbekshikazakh bacj total total systems","SDG 17","SDG 17.6"
"P086592","table recommended dams storage reservoirs priority location spa description arysriver arys repair gates fixreplace mechanical electrical control equipment fix diversion weir turkestan concrete geotechnical investigation install piezometers settlement stations accelerometers replace repair gates fixreplace mechanical bugun dam arys electrical control equipment clean toe drainage system repair downstream turkestan slope repair concrete facing","SDG 2","SDG 2.5"
"P086592","table results farm model analysis farm net agricultural income hh model location spa ha project project change household kzt kzt kyzylkum makhtaaral arys turkestan bac exchange rate","SDG 2","SDG 2.b"
"P086592","table project generate additional annual household farm incomes kzt makhtaaral kzt kyzylkum percentage increases kyzylkum bac","SDG 10","SDG 10.1"
"P086592","table summary economic analysis proposed spas main agricultural base cost eirr enpv crops usha percent usha makhtaaral cotton kyzylkum cotton arys turkestan cotton kyzylorda rice","SDG 2","SDG 2.b"
"P086592","tasks include collect current data machinery park spas including age functionality type identify future investment demonstrate farmers contractors machinery types sizes assist selection circumstances investigate modalities machine ownership operation timely machinery services farmers propose options multifarm machinery ensure financial viability ownership operation advise development private machinery support services sector rural develop machinery investment plan future implementation","SDG 17","SDG 17.17"
"P086592","technical sustainability achieved provision adequate consulting services system rehabilitation design construction supervision","SDG 16","SDG 16.10"
"P086592","project investments subject investments financed separately parallel government million","SDG 17","SDG 17.5"
"P086592","accounting system outdated capacity generate ifrs","SDG 16","SDG 16.10"
"P086592","accounting system contract management module monitor contracts implementation","SDG 16","SDG 16.10"
"P086592","accounting system module fixed assets register updated ensure projectrelated fixed assets identified project reporting purposes","SDG 16","SDG 16.10"
"P086592","activity move farmer community rccs local authorities concept centralized unreliable supply machinery services competitive effective private sector market machine services repair maintenance facilities","SDG 17","SDG 17.17"
"P086592","actual location rsu raion level decided spa project commencement staff rcc development specialist unit head specialists fm legal training om","SDG 16","SDG 16.9"
"P086592","adb financing development agricultural sector id subsector launch followup activity similar wrmlip","SDG 2","SDG 2.b"
"P086592","advisory services farmers apply financing guide followup activities requirements access credit financial facilities kaf public private sector organizations","SDG 17","SDG 17.17"
"P086592","agricultural development component design line international practices","SDG 2","SDG 2.b"
"P086592","agricultural development component idip contribute improving agricultural production productivity","SDG 2","SDG 2.b"
"P086592","agricultural development consultant team based shynikent undertake deliver component activities outputs related agricultural development component projectsupported fscs","SDG 2","SDG 2.b"
