"Project","Text","SDG","Target"
"P131256","nonetheless csp generation benefits grid operations system costs capital costs compared pv traditional fossil fuel technologies practical financing implications","Climate mitigation","Climate mitigation.NA"
"P131256","noor ouarzazate ii iii expected cubic meter water reservoir mansour eddahbi dam aggregate quarter noorouarzazate water consumption combined noorouarzazate consumption represents percent dams regular annual volume percent water resources region tiouini dams construction completed","Water","Water.NA"
"P131256","noorouarzazate ii iii expected drycooled significantly reduces water consumption comparison wetcooled technology","Water","Water.NA"
"P131256","noorouarzazate ii iiis specifications request power plants optimized maximize peakhour generation displace combinedcycle gas turbines fueled expensive imported lng","Climate mitigation","Climate mitigation.NA"
"P131256","noorouarzazate ii expected concentrating solar power plant gross capacity mw including single power block steam turbine generator set solar parabolic trough technology thermal energy storage capacity hours molten salt fluid msf minimum lifetime plant initial commercial operation date","Climate mitigation","Climate mitigation.NA"
"P131256","noorouarzazate iii expected concentrating solar power plant gross capacity mw including single power block steam turbine generator set solar tower technology thermal energy storage capacity hours molten salt fluid msf minimum lifetime plant initial commercial operation date","Climate mitigation","Climate mitigation.NA"
"P131256","notwithstanding difficulty quantitative consideration energy security benefit established economics literature macroeconomic impact oil price shocks significant symmetric sharp price rise decline economic growth occurred macroeconomy immediately spring level oil price returns level","Climate mitigation","Climate mitigation.NA"
"P131256","analysis choice csp storage pv yield similar ghg emission reductions lower capital costs","Climate mitigation","Climate mitigation.NA"
"P131256","proceeds ctf loans withdrawn masen draw funds remaining ifi facilities including ibrd construction noorouarzazate ii iii purchases kwh commissioning plants","Climate adaptation","Climate adaptation.NA"
"P131256","significant challenges climate change develop deploy low carbon technologies accelerated pace global greenhouse gas emissions peak decade significantly decrease","Climate mitigation","Climate mitigation.NA"
"P131256","operational phase regular maintenance equipment regular monitoring surveillance fossil fuel vegetation electrical equipment","Climate mitigation","Climate mitigation.NA"
"P131256","operations officer quality assurance mnade nonbank staff title office phone city silvia parientedavid consultant renewable energy paris france emmanuel ngollo consultant environmental safeguards washington","Climate mitigation","Climate mitigation.NA"
"P131256","yearlifetime csp plant cumulative emissions reduction estimated million noorouarzazate ii iii","Climate mitigation","Climate mitigation.NA"
"P131256","parabolic trough power plants consist fields parabolic trough collectors heat transfer fluid htf system steam generation system rankine steam turbinegenerator cycle power block optional thermal storage andor fossilfired backup systems","Climate mitigation","Climate mitigation.NA"
"P131256","peakhour generation yields masen onee expected displace expensive generation grid combinedcycle gas turbines imported liquefied natural gas","Climate mitigation","Climate mitigation.NA"
"P131256","power generation morocco dominated thermal generation installed capacity coal percent fuel gasoil percent natural gas percent makes morocco intensive country emissions kwh generated percent world average low total capita figure","Climate mitigation","Climate mitigation.NA"
"P131256","prices historically indexed market rates energy markets experienced significant increases volatility","Climate mitigation","Climate mitigation.NA"
"P131256","project stakeholder risks rating moderate description risk management potential risk stakeholder motivation decline government commitment strong support csp renewable energy scaleup implementation project","Climate mitigation","Climate mitigation.NA"
"P131256","proposed development objectives pdo increase installed capacity megawatt electricity output megawatthour peak hours noorouarzazate solar complex components component cost usd millions component financing initial investment component cost mitigation mechanism institutional data sector board energy mining sectors climate change sector maximum total equal soft ctf loan terms apply ii major sector sector adaptation mitigation cobenefits cobenefits energy mining renewable energy public administration law public administration justice energy mining total certify adaptation mitigation climate change cobenefits information applicable project","Climate mitigation","Climate mitigation.NA"
"P131256","pv experienced percent price reduction doubling installed capacity significantly contributed increased commercialization nearparity traditional fossilbased technologies","Climate mitigation","Climate mitigation.NA"
"P131256","rafael ben consultant renewable energy washington","Climate mitigation","Climate mitigation.NA"
"P131256","renewable energy development tool ensure energy security net energy importers","Climate mitigation","Climate mitigation.NA"
"P131256","renewable energy development economic imperative net energy exporters","Climate mitigation","Climate mitigation.NA"
"P131256","renewable energy geees silvia martinez romero csp engineer spec","Climate mitigation","Climate mitigation.NA"
"P132317","resp status stage recurrent due date frequency client implementation project risks social environmental rating moderate risk description risk management project triggers safeguard policies mrdp environmental social safeguards frameworks updated environmental assessment opbp ii natural enhanced consolidated integrated environmental social safeguards habitats opbp iii pest management op bp framework iessf prdp ensure prdp subprojects meet iv forests opbp involuntary criteria compliance policies pertaining types resettlement opbp vi indigenous peoples locations subprojects conformity technical guidelines specifications opbp vii safety dams opbp","Climate adaptation","Climate adaptation.NA"
"P132317","safeguards specialist safeguards technical procurement civil engineer infrastructure rural roads review bidding outcome irrigation water supply civil engineer yr","Water","Water.NA"
"P132317","similar objectives strengthening mpas system conserve marine key biodiversity project project id prdp promote encourage establishment mpa networks targeted","Biodiversity","Biodiversity.NA"
"P132317","snapshots devastation implementation practices natural disasters department agriculture yolandainternational haiyan november facilitate integration financing extract ray report neda december priority local investments derived typhoon yolanda cut central philippines das agricultural caused massive storm surge deaths","Climate adaptation","Climate adaptation.NA"
"P132317","sorsogon monreal extensive mangrove sea grass strait sanctuary enhancement technical san jacinto coral reef ecosystem magallanes fish marine sanctuary operational capacities masbate stakeholders including matnog marine reserve conduct participatory san fernando fish sanctuary marine resource assessment reserve pra mangrove sea southeast buenavista san hawksbill turtle eretmochelys sulu sea pamanculan fish sanctuary grass coral reef ecosystem critical iloilo lorenzo sibunag imbricata cr south lawi marine reserve fish sanctuary guimaras jordan nueva green sea turtle chelonia mydas visayan sea habitats endangered marine organisms iloilo valencia guimaras en north toyo reef fish sanctuary","Biodiversity","Biodiversity.NA"
"P132317","specific information technologies include agroforestry nursery establishment marine habitat restoration techniques mangrove sea grass coral reefs promotion sloping agricultural land technology","Biodiversity","Biodiversity.NA"
"P132317","strategic awareness campaigns campaigns focus social marketing biodiversity conservation fisheries management coastal resource management issues ensure community integral sustainability conservation efforts outcomes","Biodiversity","Biodiversity.NA"
"P132317","table target outputs outcomes key indicators contributions pdo outputs outcomes key indicators contributions pdo increased producers increase contractual viable smallholder participating operating viable formalized marketing enterprises vertically linked enterprises simple agreements business practices commodity agriculture fishery agricultural fishery chain clusters based enterprise planning products forged activity record keeping production sales expenses support service increase producer agreements producer including smallholder developed including smallholder farmer fisher enterprises farmer fisher associations service providers associations accessed accessed technologies technologies information information producer increase producers contractual productivity formalized formalized arrangements enhanced arrangements marketing marketing produce arrangements andor technical services provision marketing technical services technical services producers including producers producers including increased producers smallholders including smallholders smallholders farmers including smallholders adoption climate farmers fishers fishers awareness farmers fishers smart technologies climate smart access climate resilience climate change technologies smart technologies adverse weather conditions","Climate adaptation","Climate adaptation.NA"
"P132317","target sites municipalities trigger species bio mpas mett score gef supported activities geographic zone lme rhynchobatus australiae vu management coastal dugong dugong dugon vu resource management avicennia rumphiana vu issues green roxas green island hawksbill turtle eretmochelys sulu sea caramay mpa island bay imbricata cr johnson island mpa facilitating palawan giant clam tridacna gigas en malcampo mpa management arrangements region green sea turtle chelonia mydas rizal mpa building partnerships en san miguel mpa including organizational loggerhead turtle caretta tinitian mpa development carettaen tumarbong mpa humphead wrasse cheilinus provision conservation undulatus en implementation whitespotted guitarfish investments coastal rhynchobatus australiae vu marine habitat leopard shark stegostoma restoration enforcement fasciatumvu enhancing mpa dugong dugong dugon vu management danajon ubay pres","Biodiversity","Biodiversity.NA"
"P132317","adjustments recommended assessment project files implementation support plan annex relate short term staffing training requirements due heavy demands staff involved disaster recovery efforts due anticipated vacancies experienced staff retirement provisions rationalization plan","Climate adaptation","Climate adaptation.NA"
"P132741","proposed development objectives project development objective improve energy efficiency quality service selected ukrainian dh companies improve financial viability decrease emissions","Climate mitigation","Climate mitigation.NA"
"P132741","public utility miskteplovodenerhia kamianets podilskyi city council kamyanetspodilsky kpmte municipal services company main business dh combined provision water wastewater services","Water","Water.NA"
"P132741","public utility vinnytsia city council vinnytsiamiskteploenerho vmte produces transports sells heat city vinnytsia","Climate mitigation","Climate mitigation.NA"
"P132741","quasifiscal deficits gas district heating dh sectors reduced increases tariffs accompanied targeted social assistance reach poorest segments society","Climate mitigation","Climate mitigation.NA"
"P132741","reduction network heat losses indicator traces reduction heat municipal utility losses due network ivano rehabilitation frankivskteplokomunenerho envisioned ivanofrankivsk project","Climate mitigation","Climate mitigation.NA"
"P132741","reduction residential heat consumption gcal buildings ihss installed municipal utility ivano frankivskteplokomunenerho ivanofrankivsk indicator reports reduction heat public utility consumption miskteplovodenerhia residential buildings kamianetspodilskyi city semiannual ihss council progress participating installed kamyanetspodolsky reports annually utilities project","Climate adaptation","Climate adaptation.NA"
"P132741","rehabilitation automation savings boiler house boilers costs fuel om replacement pumps staff reduced electricity air fan motors consumption water total ibrd ctf total component","Climate mitigation","Climate mitigation.NA"
"P132741","rehabilitation km main due reduced losses pipes pipeline network dh networks energy water frequency","Climate mitigation","Climate mitigation.NA"
"P132741","rehabilitation biggest boiler houses operated utility lead gas electricity water om staff savings","Climate mitigation","Climate mitigation.NA"
"P132741","rehabilitation renovation savings om fuel boiler houses boiler houses electricity costs including","Climate mitigation","Climate mitigation.NA"
"P132741","rehabilitation savings improved major chss chss operational connected renovation chss efficiency utilizing rehabilitated boiler benefits boiler houses ihss house rehabilitation installed savings due reduced heat consumption","Climate mitigation","Climate mitigation.NA"
"P132741","relevance investments proposed investments project relevance meeting project development objectives pdo increasing energy efficiency improving reliability improving financial viability reducing emissions improving quality service","Climate mitigation","Climate mitigation.NA"
"P132741","removal gas heat subsidies extremely challenging politically popular","Climate mitigation","Climate mitigation.NA"
"P132741","replacing capacity actual generation gas chp installation ae gas savings motor reduction om automation cost scada rehabilitation networks connected renovated chp savings fuel costs km increasing due reduced losses","Climate mitigation","Climate mitigation.NA"
"P132741","safeguard policies triggered project environmental assessment opbp natural habitats opbp pest management op physical cultural resources opbp involuntary resettlement opbp indigenous peoples opbp forests opbp safety dams opbp projects disputed opbp projects international waterways opbp social","Climate adaptation","Climate adaptation.NA"
"P132741","scada scada boiler house monitoring temperature control pressure sensors total ibrd ctf total component investment financing financing financing description benefits summary cost usd usd usd usd added network system ihss energy savings due","Climate mitigation","Climate mitigation.NA"
"P132741","scada primarily labor fuel rehabilitated boiler electricity costs house insulation savings fuel costs","Climate mitigation","Climate mitigation.NA"
"P132741","scada scada construction fuel electricity costs control replacement existing oversized primary heat savings fuel costs due","Climate mitigation","Climate mitigation.NA"
"P132741","scada scada systems labor fuel electricity boiler houses costs purchase","Climate mitigation","Climate mitigation.NA"
"P132741","sectors climate change sector maximum total equal major sector sector adaptation mitigation cobenefits cobenefits energy mining energy efficiency heat power total certify adaptation mitigation climate change cobenefits information applicable project","Climate mitigation","Climate mitigation.NA"
"P132741","selection investments based assessment situation priority investments determined closure boiler houses connection load heat supply chp plant owned company ii renovation boiler houses iii installation scada system boiler houses iv insulation ground pipes connected boiler houses modernization major chss vi installation ihss buildinglevel heat meters","Climate adaptation","Climate adaptation.NA"
"P132741","selection investments based assessment situation priority investments determined closure boiler houses reconnection pipelines renovation boiler houses ii installation scada boiler houses iii rehabilitation major chss connected rehabilitated boiler houses iv installation ihss buildinglevel heat meters","Climate adaptation","Climate adaptation.NA"
"P132741","selection investments based assessment situation priority investments determined renovationreplacement capacity largest chp operated company connecting existing scada reconnecting load ii rehabilitation networks connected renovated chp increasingrehabilitating pipelines meet additional iii installation ihss buildinglevel heat meters buildings connected renovated chp","Climate mitigation","Climate mitigation.NA"
"P132741","sensitivity analysis major percent projects benefits fuel gas savings increased efficiency enabled project investments","Climate mitigation","Climate mitigation.NA"
"P132741","sensitivity analysis major percent projects benefits fuel gas savings increased efficiency","Climate mitigation","Climate mitigation.NA"
"P132741","gas produce residential heat imported russia real possibility residential heat supply cut peak winter months","Climate mitigation","Climate mitigation.NA"
"P132741","dh companies appraised specific avoided emissions","Climate mitigation","Climate mitigation.NA"
"P132741","smart grids energy efficiency funds mutually exclusive total ctf allocation remains million million","Climate mitigation","Climate mitigation.NA"
"P132741","progressive municipalities ukraine started solving regulatory obstacles ihs installation outsourcing servicing maintenance internal building infrastructure dh companies leasing space inside buildings dh companies ihs installation","Climate adaptation","Climate adaptation.NA"
"P132741","progressive municipalities ukraine started solve regulatory obstacle ihss installation outsourcing servicing maintenance internal building infrastructure dh companies leasing space inside buildings dh companies ihs installation","Climate adaptation","Climate adaptation.NA"
"P132741","source allocation guidelines investment grants eastern europe energy efficiency environment partnership annex version april","Climate mitigation","Climate mitigation.NA"
"P132741","space heating domestic hot water","Water","Water.NA"
"P132741","space heating gcalh domestic hot water gcalh","Water","Water.NA"
"P132741","special features company space heating percent kharkiv system hot water delivery services","Water","Water.NA"
"P132741","special features company space heating hot water delivery services","Water","Water.NA"
"P132741","summary main contributors economic benefits usd indicator municipal utility ivanofrankivskteplokomunenerho ivanofrankivsk annual capital expenditure annual savings gas electricity water om expenses expenses annual net benefits excl","Climate mitigation","Climate mitigation.NA"
"P132741","tariff social assistance reforms ukraine investments demand supply energy efficiency accompanied public information campaigns","Climate mitigation","Climate mitigation.NA"
"P133705","sectors climate change sector maximum total equal major sector sector adaptation mitigation cobenefits cobenefits agriculture fishing forestry animal production industry trade agroindustry marketing trade agriculture fishing forestry agricultural extension research vii public administration law public administration justice agriculture fishing forestry total certify adaptation mitigation climate change cobenefits information applicable project","Climate adaptation","Climate adaptation.NA"
"P133705","services including construction tourism industry including mining energy agriculture largest components gdp","Climate mitigation","Climate mitigation.NA"
"P133705","farmers cultivate leased land farmers cultivate land due poor land quality lack water distance farm","Water","Water.NA"
"P133705","support provided agrochemical service noncommercial organization snco improve capacity analyze soils fertilizers chemicals including contents macro microelements organic inorganic material heavy metals test techniques resilient climate change vulnerability farming systems livestock breading","Climate adaptation","Climate adaptation.NA"
"P133705","text box pasture based livestock impact global warming armenia globally grasslands account total carbon storage terrestrial biosphere cycling carbon ecosystems considered globally significant","Biodiversity","Biodiversity.NA"
"P143689","project management electricity branch eb financing department responsibility project implementation collaborates responsible manager component achieve agreed results figure head solar pv strategic project noortafilalt responsible implementation onees solar pv program noortafilalt project component director transmission system operator tso responsible implementation renewable energy dispatch center component","Climate mitigation","Climate mitigation.NA"
"P143689","purchases energy input expected stable period onee committed rely unsubsidized heavy fuel oil","Climate mitigation","Climate mitigation.NA"
"P143689","reduction energy loss investment distributed energy generation reduce energy losses resulting electricity transmission distances","Climate mitigation","Climate mitigation.NA"
"P143689","reduction fuel oil consumption investment smart meters deployment time ofuse tariff structure encourage customers adjust load profile shift consumption peak offpeak hours reducing expensive generation capacity","Climate mitigation","Climate mitigation.NA"
"P143689","reduction nontechnical losses investment advanced metering infrastructure enable onee account charge energy unit consumed medium voltage customers","Climate mitigation","Climate mitigation.NA"
"P143689","renewable energy law creating specialized institutions","Climate mitigation","Climate mitigation.NA"
"P143689","renewable solar renewable geees energy specialist energy specialist suiko yoshijima safeguards specialist environmental environmental gendr specialist safeguards extended team title office phone location alberto cena power engineer madrid consultant ctf independent reviewer manaf touati financial analyst rabat energy specialist mikhail sr","Climate mitigation","Climate mitigation.NA"
"P143689","sdr fiscal january december abbreviations acronyms aderee agence nationale pour le développement des énergies renouvelables de lefficacité énergétique national agency renewable energy development energy efficiency ami advanced metering infrastructure bot buildoperatetransfer ccgt combined cycle gas turbine cfl compact fluorescent lamp carbon dioxide cps country partnership strategy csp concentrated solar power ctf clean technology fund ctf ip clean technology fund investment plan dpl development policy loan dsm demand management eb electricity branch eib european investment bank epc engineering procurement construction esia environmental social impact assessment esmap energy sector management assistance program eu european union fde fonds de développement energétique energy development fund fm financial management gdp gross domestic product gef global environmental facility ghg greenhouse gas gom government morocco gwh gigawatt hour hfo heavy fuel oil ibrd international bank reconstruction development icb international competitive bidding iea international energy agency imf international monetary fund ipp independent power producer irena international renewable energy agency kfw kreditanstalt für wiederaufbau german development bank kwh kilowatthour lcoe levelized cost electricity led light emitting diode mad moroccan dirhams masen moroccan agency solar energy mena middle east north africa mw megawatt npv net om operations maintenance ocp office chérifien des phosphates sharifian phosphate office office national de lélectricité national electricity utility company onee office national de lélectricité de leau potable national electricity water utility company onep office national de leau potable national water utility company pad project appraisal document pdo project development objective pll precautionary liquidity line ppa power purchase agreement ppg project preparation grant ppp publicprivate partnership research development renewable energy rfp request proposal rpf resettlement policy framework tor terms reference tso transmission system operator usd united dollar wbg world bank regional vice president hafez","Climate mitigation","Climate mitigation.NA"
"P143689","selection consultants consultants services comprise technical assistance advisory services oneeelectricity branch development noortafilalt solar pv project capacity building knowledge practices sharing studies analysis smart meters program technical assistance activities including training knowledge exchange study tour practices related renewable energy technology performance control distribution private sector participation practices bidding projects emerging regulatory practices private participation renewables access transmission networks","Climate mitigation","Climate mitigation.NA"
"P143689","onee testing tariff structures introduction tariffs stimulate energy savings conveying actual cost energy production effectively meet customers","Climate mitigation","Climate mitigation.NA"
"P143689","pv plants generate power daylight hours hoursday equivalent day estimated hours avoided outages corresponds hours hours calculated cost unserved energy kwh average power demand percent peak power daylight hours","Climate mitigation","Climate mitigation.NA"
"P143689","morocco mw wind energy capacity mw concentrated solar power csp operation","Climate mitigation","Climate mitigation.NA"
"P143689","social impacts due improved electricity supply improving access health avoiding postponement surgical interventions relocations patients faraway hospitals delivery conditions night rural health facilities ii improving households quality life women women benefit project main electricity consumers household suffer inadequate refrigeration regular appliances breakdowns iii improving incomegeneration activities refrigeration dates access electric water pumps irrigation iv increased safety extension municipal street lighting suburban rural districts benefit sharing","Water","Water.NA"
"P143689","solar wind energy production characterized noncontrollable variability limited predictability addition dependency resources sitedependent","Climate mitigation","Climate mitigation.NA"
"P143689","solar pv promising clean technology serve alternative fossil fuels meet peak load arising day due sustained economic growth increased air conditioning","Climate mitigation","Climate mitigation.NA"
"P143689","subsidized petroleum products included fuel electricity generation fuel onee normal special fuel onee unleaded gasoline diesel gasoil coastal fishing fueloil","Climate mitigation","Climate mitigation.NA"
"P143689","subsidy outlays encourage inefficient consumption energy compound energy dependence environmental externalities reducing incentives investments energy efficiency renewable energy","Climate mitigation","Climate mitigation.NA"
"P143689","table results project financial analysis table project financial analysis npv percent usm costs benefits discount rate benefits pv benefits energy sales time ami benefits fuel savings additional revenus total benefits costs pv costs capex opex time ami costs total costs capex opex project npv project firr pv project firr smart meters project firr","Climate mitigation","Climate mitigation.NA"
"P143689","table economic analysis mw pv project npv percent natural gas power generation morocco exclusively purchased algeria price algerian gas exports spain","Climate mitigation","Climate mitigation.NA"
"P143689","table economic analysis mw pv project npv usm costs benefits discount rate benefits avoided ccgt costs fuel om avoided ghg emissions avoided td losses avoided outages total benefits costs total costs capex opex project npv err sensitivity analysis","Climate mitigation","Climate mitigation.NA"
"P143689","table projects economic analysis npv percent usm costs benefits discount rate benefits avoided ccgt costs fuel om avoided ghg emissions pv avoided td losses avoided outages fuel savings tou meters avoided ghg emissions tou meters total benefits costs pv costs capex opex time ami costs total costs capex opex project npv err","Climate mitigation","Climate mitigation.NA"
"P143689","tapping countrys huge solar resources reducing carbon intensity power generation mw pv plan reduce emissions tons","Climate mitigation","Climate mitigation.NA"
"P143689","additional emissions reduction due ctf project estimated tons phase mw approximately total planned estimates avoided ghg emissions pv projects based emission factor electricity generation morocco ton comwh unfccc simplified methodology","Climate mitigation","Climate mitigation.NA"
"P143689","adoption smart grid technology contribute improving onees operating efficiency optimizing configuration distribution network reduce overloads loss reduction increasing accuracy billing avoiding loss revenue revenue protection enabling load profiling electricity consumers improve load forecasting optimize generation dispatch enhance demand response programs efficiency signals tariffs promote efficient electricity","Climate mitigation","Climate mitigation.NA"
"P144489","quito water sewer networks underground","Water","Water.NA"
"P144489","sectors climate change sector maximum total equal major sector sector adaptation mitigation cobenefits cobenefits transportation urban transport public administration law public administration justice transportation total certify adaptation mitigation climate change cobenefits information applicable project","Climate adaptation","Climate adaptation.NA"
