"","Project","Text","SDG","Target"
"53","P079032","rosstroi cs providers regions losses losses core operations amounting rur billion","No map","No map.NA"
"54","P079032","rosstroi percent russias housing stock dilapidated untenable","No map","No map.NA"
"55","P079032","housing code home owners multiapartment buildings entitled share common property plot land","SDG 15","SDG 15.3"
"56","P079032","legislation titles land plots delimited duly registered adoption housing code transferred home owners free charge","SDG 4","SDG 4.1"
"57","P079032","results september survey percent population believes entitled discounted cs tariffs","No map","No map.NA"
"58","P079032","russian statistics committee rosstat percent urban population access water supply percent sewerage percent heating figures rural lower percent percent percent","SDG 6","SDG 6.4"
"59","P079032","project selected reach level performance fer act piu","No map","No map.NA"
"60","P079032","accounting accountin svstem maintains accounting books records accounting books records bankfinanced projects computerized accounting system","SDG 16","SDG 16.10"
"61","P079032","accounting accounting system","SDG 16","SDG 16.10"
"62","P079032","accounting policies procedures","SDG 17","SDG 17.13"
"63","P079032","accounting staffing key financial positions occupied people lot experience bank financed projects","No map","No map.NA"
"64","P079032","activities include seminars set internet portal aimed provide information government agencies population including library practice","SDG 9","SDG 9.c"
"65","P079032","additional budgetary resources required procedures developed estimating variation future reform impact types housing specific household ii forecasting demand housing allowances iii projections trends total requirements budget financing including costs conventional budget subsidies social assistance programs housing allowances","No map","No map.NA"
"66","P079032","implementation stage hcs reform subprogram updated focused modernization cs infrastructure","No map","No map.NA"
"67","P079032","approval investment plan technical designs investment subproject prepared municipality","No map","No map.NA"
"68","P079032","accounting staff extensive accounting knowledge including wb financed projects considered acceptable","SDG 2","SDG 2.a"
"69","P079032","mil","No map","No map.NA"
"70","P079032","financial figures included analysis constant prices","No map","No map.NA"
"71","P079032","services procured rosstroi","No map","No map.NA"
"72","P079032","monitoring efforts require continuous support local authorities","No map","No map.NA"
"73","P079032","disbursement mechanisms advances direct payments reimbursement special commitments","No map","No map.NA"
"74","P079032","procurement funds transfers project carried centralized manner rosstrois supervision","No map","No map.NA"
"75","P079032","procurement project carried centralized manner rosstroi piu","No map","No map.NA"
"76","P079032","procurement project carried centralized manner rosstroi piu","No map","No map.NA"
"77","P079032","selected reserve municipalities agreement rosstroi define rights responsibilities project","No map","No map.NA"
"78","P079032","frequent visits participating municipalities required","No map","No map.NA"
"79","P079032","housing emerged valuable asset majority households","No map","No map.NA"
"80","P079032","economic financial savings expected result efficiency gains derived marketbased mechanisms competitive service delivery hcs sector improved targeting social transfers","No map","No map.NA"
"81","P079032","regional administrations subnational funding replicate hcs project locally","No map","No map.NA"
"82","P079032","rosstroi conduct periodic spot checks","No map","No map.NA"
"83","P079032","participating cities opportunity fimds allocated investment phase implement set highpriority investments hcs cities developed feasibility studies designs months project implementation","SDG 10","SDG 10.3"
"84","P079032","participating cities opportunity funds allocated investment phase implement set highpriority investments hcs cities developed feasibility studies designs months project implementation","SDG 10","SDG 10.3"
"85","P079032","proposed project contributes banks increasing effort promote development regions","No map","No map.NA"
"86","P079032","lack supervision guidance federal government","No map","No map.NA"
"87","P079032","alternatives considered reasons rejection","No map","No map.NA"
"88","P079032","lowest monthly income rubles family percent entitled discounts","No map","No map.NA"
"89","P079032","amount outstanding payments communal services consumed municipal regional public institutions","SDG 16","SDG 16.6"
"90","P079032","assessment fm arrangements project undertaken october updated negotiations","No map","No map.NA"
"91","P079032","prepared project emphasis ensuring mitigation potential environmental impacts rehabilitation potential construction","SDG 13","SDG 13.a"
"92","P079032","step creating transparency hcs sector regularly publish tariffs audited financial data core technical data cs providers mass media internet","No map","No map.NA"
"93","P079032","interagency composed senior management rosstroi representatives ministry regional development ministry finance ministry economic development trade responsible strategic issues decisions project preparation implementation","SDG 16","SDG 16.7"
"94","P079032","interagency established minister regional development dated october","No map","No map.NA"
"95","P079032","annex addresses weaknesses identified appraisal recommends measures aimed mitigating procurement risks","SDG 13","SDG 13.a"
"96","P079032","annex country sector program background federation housing communal services project recent economic developments russian federation performance russian economy crisis impressive macroeconomic fundamentals improved considerably economy grown robustly row","SDG 12","SDG 12.1"
"97","P079032","annex country glance russian federation housing communal services project europe upper poverty social russian central middle diamond","No map","No map.NA"
"98","P079032","annex describes mechanism conduct economic financial analyses screening activities undertaken project implementation ensure investments economically justified","No map","No map.NA"
"99","P079032","annex documents project file federation housing services project","No map","No map.NA"
"100","P079032","annex economic financial analysis federation housing communal services project nature project specific investments identified implementation stage municipalities developed investment plans","No map","No map.NA"
"101","P079032","annex financialmanagement disbursement arrangements russian federation housing communal services project country issues country financial accountability assessment cfaa russian federation conducted","No map","No map.NA"
"102","P079032","annex implementation arrangements federation housing communal services project russian federation ministry finance recipient proposed ibrd loan designate federal agency construction housing communal services rosstroi executing entity operation","No map","No map.NA"
"103","P079032","annex related projects financed bank andor agencies federation housing services project multisector nature hcs project means operation covers sectors economy","SDG 16","SDG 16.1"
"104","P079032","annex","No map","No map.NA"
"105","P079032","annex procurement arrangements russian federation housing communal services project","No map","No map.NA"
"106","P079032","annex project preparation supervision federation housing communal services project planned actual pcn review december september initial pid pic october initial isds pic october appraisal october october negotiations boardrvp approval february planned date effectiveness july planned date midtermreview january planned closing date november key institutions responsible preparation proiect federal agency construction hcs russian federation rosstroi implementing agency fund enterprise restructuring financial institutions development fer project implementation unit","No map","No map.NA"
"107","P079032","annex safeguard policy issues russian federation housing communal services project project triggers safeguard policy operational policy","SDG 17","SDG 17.13"
"108","P079032","annual backlog housing repair square meters figure expected grow","No map","No map.NA"
"109","P079032","private sector participation competitive basis lease concession type contracts local governments operators attraction offbudget resources finance upgrading cs infrastructure","SDG 17","SDG 17.17"
"110","P079032","route contracting private operator operate manage service delivery properly designed management lease contract","SDG 17","SDG 17.17"
"111","P079032","applications replenishment supported documentation","No map","No map.NA"
"112","P079032","appraisal summary","No map","No map.NA"
"113","P079032","approvals pending commitment fy approval company loan equity quasi partic","No map","No map.NA"
"114","P079032","approve recommendation rosstroi municipalities selected reform phase municipal investment plans municipalities selected investment phase awarded grant support implementing investment plans","No map","No map.NA"
"115","P079032","approved rf government federal law","SDG 14","SDG 14.c"
"116","P079032","approved rf government resolution january","No map","No map.NA"
"117","P079032","approximately percent project cost relates component preparation implementation hcs investment plans","SDG 16","SDG 16.1"
"118","P079032","approximately percent relates distribution networks","No map","No map.NA"
"119","P079032","consequence intensive supervision world banks financed projects remains","No map","No map.NA"
"120","P079032","challenges facing housing sector systemic institutional nature traditional investment loans primarily focusing bricks mortar successful achieving results sectorwide reforms","SDG 17","SDG 17.5"
"121","P079032","lgoti meanstested system provide adequate protection poor","SDG 1","SDG 1.3"
"122","P079032","beginning percent owners residential premises multifamily buildings representing percent total housing stock decisions form building level management homeowners association condominiums housing societies management companies","SDG 16","SDG 16.7"
"123","P079032","project supervision missions bank conduct riskbased financial management supervisions intervals","No map","No map.NA"
"124","P079032","project preparation summary recent psia activities related key reform undertaken project files","No map","No map.NA"
"125","P079032","selection criteria continuous monitoring participating hcs providers project implementation agreement rosstroi municipalities require regular audits hcs providers","No map","No map.NA"
"126","P079032","required bankaccredited financial management specialist assist supervision process","No map","No map.NA"
"127","P079032","tariffs hcs increase project project designed include series policy actions improve targeting funding delivery housing allowances","SDG 13","SDG 13.a"
"128","P079032","tariffs increase social protection","SDG 1","SDG 1.3"
"129","P079032","housing project enterprise housing divestiture project shown difficulties implementing operations complicated volatile political economic context russia mids","SDG 10","SDG 10.2"
"130","P079032","assessment agencys capacity implement procurement project implementation unit piu called foundation enterprise restructuring financial institutions development fer competitively selected assist day implementation project","No map","No map.NA"
"131","P079032","assessment include site visits surveys data collection verification methods","SDG 16","SDG 16.10"
"132","P079032","assets resulting project transferred municipalities local service providers grant basis","No map","No map.NA"
"133","P079032","surveys measure consumer satisfaction conducted project","No map","No map.NA"
"134","P079032","time effort ensure rosstroi staff charge hcs reform project implementation knowledgeable environmental social issues","No map","No map.NA"
"135","P079032","time percent entitled discounts applied","No map","No map.NA"
"136","P079032","attempts disregard world banks comments bidding documents excuse left amend due internal bureaucratic process","No map","No map.NA"
"137","P079032","auditing overdue audit reports outstanding issues piu projects implements","No map","No map.NA"
"138","P079032","auditors engaged standard terms reference acceptable bank procured accordance bank procurement guidelines","No map","No map.NA"
"139","P079032","bank fiduciary staff based moscow provide regular oversight","No map","No map.NA"
"140","P079032","bank staff consultants project included title unit gevorg sargsyan senior infrastructure specialist ecssd peter ellis senior urban economist sase ellen hamilton senior urban planner ecssd jan brzeski housing urban specialist ecssd meike van ginneken senior water sanitation specialist ewdws arvo kuddo senior labor economist ecshd dhruva sahai senior financial specialist consultant ecssd tatyana shadrunova operations analyst ecssd yan","SDG 6","SDG 6.2"
"141","P079032","based investment demand expressed seminars project preparation estimated percent expenditures investment plans heating supply percent water supply sewerage percent housing sector percent social protection","SDG 1","SDG 1.3"
"142","P079032","based investment hcs sector russian federation demand expressed regions municipalities participating seminars project preparation estimated percent expenditures services subcomponent spent heating supply including energy supply heating supply facilities percent spent water supply sewerage facilities percent spent housing sector percent spent social protection","SDG 6","SDG 6.4"
"143","P079032","based detailed investment plans procurement plan component prepared piu approved rosstroi bank noobjection letters","SDG 17","SDG 17.5"
"144","P079032","based banks current audit policy recommends maintaining current arrangements annual audit bankassisted projects involve audit private sector audit competitively appointed preselected bank consultation mof","SDG 17","SDG 17.17"
"145","P079032","key issues addressed reform program","No map","No map.NA"
"146","P079032","benefits benefits investment plans classified categories service quality improvement","SDG 4","SDG 4.2"
"147","P079032","scope regular project audit expanded include detailed review internal control procedures audit section","No map","No map.NA"
"148","P079032","russian gdp expanded percent real income population grew percent","No map","No map.NA"
"149","P079032","billing collection payments directly linked services provided","No map","No map.NA"
"150","P079032","bryansk kaluga kostroma dudinka ukraine orel ivanovo syktyvkar","No map","No map.NA"
"151","P079032","budget data entered project financial statements","No map","No map.NA"
"152","P079032","budgetary resources freed participating regionsmunicipalities directed potential program participants municipalities","No map","No map.NA"
"153","P079032","building capacity local level paramount reforming sector","SDG 17","SDG 17.19"
"154","P079032","buildings installations treat wastewater sediments","No map","No map.NA"
"155","P079032","beginning ruble appreciated real terms precrisis levels trend continuing","No map","No map.NA"
"156","P079032","cash accounting project","No map","No map.NA"
"157","P079032","cash flow low tariffs properly account depreciation service providers reimbursed subsidies provide consumers government entities pay consumed services","No map","No map.NA"
"158","P079032","central heating stations","No map","No map.NA"
"159","P079032","aspects affordable housing package aimed demand housing market providing conditions mortgage system development supporting forms housing demand stimulation","SDG 1","SDG 1.3"
"160","P079032","cities prepare detailed investment plans financed project design tender documents","SDG 11","SDG 11.6"
"161","P079032","citizens view municipalities owners buildings property municipal enterprises providers maintenance repair services","SDG 16","SDG 16.7"
"162","P079032","clarifying rights obligations land plots requires delimitation registration","SDG 16","SDG 16.9"
"163","P079032","cofinancing provided rosstroi","No map","No map.NA"
"164","P079032","collection treatment rain water melted snow water discharge facilities buildings systems collecting treating discharging rain water melted snow water","SDG 6","SDG 6.4"
"165","P079032","communal service providers autonomous accountable","No map","No map.NA"
"166","P079032","communal service providers sufficient resources finance proper maintenance rehabilitation development assets","SDG 17","SDG 17.1"
"167","P079032","communal services cs include district heating water supply hot water supply sewerage services technical economic financial environmental assessment investment plans months reform phase selected reserve municipality submit investment plan outlining investment subprojects financed investment phase feasibility studies subprojects","No map","No map.NA"
"168","P079032","competition housing maintenance current capital repair services low","No map","No map.NA"
"169","P079032","competitive mechanisms accessing funds","SDG 13","SDG 13.a"
"170","P079032","component support implementation federal level million federal government enacted impressive array legal regulatory acts designed improve financial viability communal services providers strengthen social protection hcs consumers create market competition housing management maintenance privatized tenantowners assuming rights obligations private property","SDG 1","SDG 1.3"
"171","P079032","component support hcs reform implementation federal level million federal government enacted impressive array legal regulatory acts designed improve hcs delivery","SDG 16","SDG 16.9"
"172","P079032","component support implementation hcs reforms subnational level including iassistance cities utility reform social protection housing iievaluation implementation municipal reform programs iiiknowledge exchange municipalities iv public awareness campaign hcs reforms selected regions","SDG 1","SDG 1.3"
"173","P079032","component support implementation reforms subnational level million component finance technical assistance ten selected reserve cities implement reforms line federal governments objectives","SDG 11","SDG 11.6"
"174","P079032","component support implementation reforms subnational level million component finance technical assistance ten selected reserve cities implement reforms","SDG 11","SDG 11.6"
"175","P079032","component preparation implementation investment plans million component includes technical assistance prepare investment plans technical designs reform phase financing investment subprojects implement approved investment plans investment phase project","SDG 17","SDG 17.5"
"176","P079032","component preparation implementation hcs investment plans including preparation municipal investment plans feasibility studies technical designs ii implementation municipal investment plans iiisupervision implementation municipal investment plans component project management monitoring results safeguard policies triggered ref pad technical annex op","No map","No map.NA"
"177","P079032","component preparation implementation investment plans million component includes technical assistance prepare investment plans technical designs reform phase financing investment subprojects implement approved investment plans investment phase project","SDG 17","SDG 17.5"
"178","P079032","component project management monitoring million component include technical assistance equipment logistical support implementing agencies project implementation monitoring supervision including consulting services measuring results project","No map","No map.NA"
"179","P079032","component project management monitoring million component provide assistance implementing agency project implementation monitoring supervision including consulting services measuring results project","No map","No map.NA"
"180","P079032","conditions effectiveness participating municipalities selected based selection methodology","No map","No map.NA"
"181","P079032","conducting daytoday supervision contractors certifylng completion technical standards municipal supervisors reporting periodic basis rosstroi based monitoring formats included project operations manual including data gathering quality control coordination financial operational reporting entities local level cs providers","No map","No map.NA"
"182","P079032","controls mitigation measures risk audit arrangements assessed moderate","SDG 13","SDG 13.a"
"183","P079032","controls mitigation measures risk implementing entity assessed moderate","SDG 13","SDG 13.a"
"184","P079032","controls mitigation measures risk internal control arrangements project assessed moderate","SDG 13","SDG 13.a"
"185","P079032","controls mitigation measures risk flow funds project assessed moderate","SDG 13","SDG 13.a"
"186","P079032","consistency bank policy practice related pius government requested project implementation unit national level proposed project facilitate smooth transition integration project management functions line agencies","SDG 16","SDG 16.1"
"187","P079032","consumers pay tariffs observe improvements quality services delivered","SDG 4","SDG 4.2"
"188","P079032","consumers pay tariffs observe improvements quality services delivered","SDG 4","SDG 4.2"
"189","P079032","conversely adjustment operations focus solely policy aspects result rapid rehabilitation infrastructure improvement service quality essential financial viability utilities support consumers","SDG 3","SDG 3.8"
"190","P079032","corruption persistent challenges hcs sector","SDG 16","SDG 16.5"
"191","P079032","corruption taking project accounting financial management upward period mitigation measures corruption risk significant reduction incorporated section considered substantial risk","No map","No map.NA"
"192","P079032","country sector issues","No map","No map.NA"
"193","P079032","creating market competition housing management maintenance lack building level collective management structures inefficient housing management municipal enterprises strongly contributed physical deterioration multifamily buildings privatized tenantowners perceive hold joint ownership common property feel responsible management maintenance repair noncompetitive nature maintenance repairs contributed lack availability quality inadequate pricing services lack rights obligations common property land plots home owners properly maintain develop common property","SDG 4","SDG 4.2"
"194","P079032","creating market competition housing management maintenance lack building level collective management structures inefficient housing management municipal unitary enterprises strongly contributed physical deterioration multi family buildings","No map","No map.NA"
"195","P079032","creating market percentage multifamily buildings owners selected buildinglevel collective competition management structure signed relevant agreements accordance housing code housing management","No map","No map.NA"
"196","P079032","critical risks controversial aspects risks risk mitigation measures risk rating mitigation project development objective improvements service quality project seeks mitigate risk improving accompany increases tariffs service quality extensive investments poor households supported upgrading infrastructure taking integrated tariff increases social approach including improving social protection tensions grow mechanisms hcs enterprises cost effective financing public awareness campaigns explain sector reforms address issues social opposition cost recovery proposals","SDG 13","SDG 13.3"
"197","P079032","cs providers punished efficiency gains reduced tariffs tariff review","SDG 7","SDG 7.3"
"198","P079032","cs providers allowed priority protecting organization political masters service improvement","SDG 10","SDG 10.2"
"199","P079032","currency equivalents exchange rate effective december currency unit russian ruble rur rur","No map","No map.NA"
"200","P079032","current rehabilitation rates rarely exceed percent","No map","No map.NA"
"201","P079032","customers receive intermittent service varies location","No map","No map.NA"
"202","P079032","december rf government","No map","No map.NA"
"203","P079032","decrease disease incidence due poor hcs","SDG 3","SDG 3.4"
"204","P079032","delimitation land plots responsibility local authorities sufficient funds incentives advance","No map","No map.NA"
"205","P079032","designated account commercial bank acceptable bank","No map","No map.NA"
"206","P079032","macroeconomic stability sound economic growth pace service improvements hcs sector slow","SDG 17","SDG 17.13"
"207","P079032","significant budget resources flow sector deterioration housing stock poor quality communal services continues","SDG 4","SDG 4.2"
"208","P079032","detailed procedures relating internal controls audits project investment components financial management om","No map","No map.NA"
"209","P079032","details procurement arrangements involving international competition","No map","No map.NA"
"210","P079032","development policy loan project originally designed dpl","SDG 1","SDG 1.a"
"211","P079032","development approval implementation municipal public information program hcs reform","SDG 17","SDG 17.17"
"212","P079032","dissemination project results nonparticipating municipalities regions million subcomponent support federal government spread momentum hcs reform replicate reforms regions municipalities sharing lessons learned participating cities","SDG 11","SDG 11.6"
"213","P079032","distributing substations devices","No map","No map.NA"
"214","P079032","distribution circled water supply network","SDG 6","SDG 6.4"
"215","P079032","project meet regional criteria readiness implementation xiyes pad","No map","No map.NA"
"216","P079032","project require exceptions fkom bank policies ref pad","SDG 17","SDG 17.13"
"217","P079032","draft formats ifrs including physical progress report prepared discussed piu","No map","No map.NA"
"218","P079032","dubel hansjoacchim brzeski jan","No map","No map.NA"
"219","P079032","due lack metering leakage buildings","No map","No map.NA"
"220","P079032","project implementation bank supervise projects financial management arrangements main review quarterly basis financial projects ifrs annual projects audited financial statements auditors management letter banks onsite supervision missions review key project accounting internal control systems iibudgeting financial planning arrangements iii disbursement management financial flows including counterpart funds applicable iv incidences corrupt practices involving project resources","No map","No map.NA"
"221","P079032","investment phase targeted investments hcs infrastructure investment plans prepared cities","SDG 11","SDG 11.6"
"222","P079032","investment phase targeted investments hcs infrastructure investment plans","SDG 17","SDG 17.5"
"223","P079032","unstable macroeconomic environment os hcs sector acted shock absorber","No map","No map.NA"
"224","P079032","unstable macroeconomic environment hcs sector acted shock absorber housing stock utility networks allowed depreciate maintenance investment funds diverted cashstrapped households local governments","SDG 17","SDG 17.5"
"225","P079032","debt resource flows debt mill","SDG 17","SDG 17.4"
"226","P079032","subproject economic internal rate return eirr minimum percent financial internal rate return firr minimum percent","No map","No map.NA"
"227","P079032","economic financial analyses","No map","No map.NA"
"228","P079032","enabling environment risk mitigation wide difference approach public procurement law hand world bank procurement guidelines hand insufficient practice legal institutional framework reportedly widespread corruption country procurement environment implementation world banks portfolio russian federation continues complex risk","No map","No map.NA"
"229","P079032","energy supply buildings constructions","SDG 7","SDG 7.1"
"230","P079032","ensure coordination relevant government agencies providing guidance key implementation issues","No map","No map.NA"
"231","P079032","ensuring subsidies paid housing allowances financed regional federal budgets","SDG 11","SDG 11.1"
"232","P079032","entity financial statements prepared accordance ifrs","No map","No map.NA"
"233","P079032","environmental assessment significant nonstandard conditions ref pad","No map","No map.NA"
"234","P079032","environmental assessment assigned environmental screening category","No map","No map.NA"
"235","P079032","environmental benefits","No map","No map.NA"
"236","P079032","environmental management plan annex statement loans credits russian federation housing communal services project difference expected actual original amount millions disbursements proiect id fy purpose ibrd ida sf gef cancel","No map","No map.NA"
"237","P079032","estimated annual supervision cost","No map","No map.NA"
"238","P079032","estimated approval supervision costs","No map","No map.NA"
"239","P079032","evaluation implementation municipal reform programs million subcomponent support evaluation municipal reform status selected reserve cities start reform phase","SDG 11","SDG 11.6"
"240","P079032","examples awareness building measures information advisory services households homeowners associations education cadre property managers capable performing buildinglevel management including asset management functions","SDG 9","SDG 9.5"
"241","P079032","existing legislation grants municipalities authority determine administrative structure hcs service provision decide timing form reforms hcs sector","No map","No map.NA"
"242","P079032","expected effectiveness date july expected closing date november project depart cas content significant respects xino ref pad","No map","No map.NA"
"243","P079032","exports imports imports services","SDG 17","SDG 17.11"
"244","P079032","external funding upgrading infrastructure required","No map","No map.NA"
"245","P079032","external funding upgrading infrastructure required","No map","No map.NA"
"246","P079032","facilities building drainage systems separate buildings","SDG 16","SDG 16.10"
"247","P079032","federatlon asla income population midyear millions","No map","No map.NA"
"248","P079032","fer chosen project piu responsibility fiduciary arrangements","No map","No map.NA"
"249","P079032","fer extensive experience gained managing world bank supported projects russia","SDG 2","SDG 2.a"
"250","P079032","fer implemented bank financed projects including treasury development project sustainable forestry project northern restructuring project","SDG 12","SDG 12.1"
"251","P079032","fer compliance audit covenants existing bankfinanced projects","No map","No map.NA"
"252","P079032","fer noncommercial legal entity selected competitive basis act piu","SDG 16","SDG 16.9"
"253","P079032","fers previous current project financial statements auditing arrangements satisfactory replicated hcs project","No map","No map.NA"
"254","P079032","fiduciary financial management","No map","No map.NA"
"255","P079032","finally technical audit address risk inappropriate ineffective project financed assets municipal level confirm assets properly accounted undertaken mid term review project","No map","No map.NA"
"256","P079032","finally private financing infancy rapid increases private investment sector partially due investment risk profit potential lack solid legal regulatory framework widespread political interference","No map","No map.NA"
"257","P079032","finally municipal heating municipal water wastewater projects implemented financed onlending arrangements","SDG 6","SDG 6.3"
"258","P079032","finally package includes laws utility tariff regulation concession law stimulate supply cs market","SDG 14","SDG 14.c"
"259","P079032","finan cia reporting responsible producing financial reports bank","No map","No map.NA"
"260","P079032","financial analysis financial analysis projects based cash analysis","No map","No map.NA"
"261","P079032","financial economic outcomes subproject economic internal rate return eirr minimum percent financial internal rate return firr minimum percent","No map","No map.NA"
"262","P079032","financial economic outcomes subprojects screened ensure positive economic financial outcomes","No map","No map.NA"
"263","P079032","financial reporting reporting system","No map","No map.NA"
"264","P079032","financial specialists regularly undergo accounting seminars trainings organized bank external","No map","No map.NA"
"265","P079032","financial statements independent audits cs providers published mass media","No map","No map.NA"
"266","P079032","financial viability communal entities including district heating water supply hot water supply waste water disposal improved","SDG 12","SDG 12.4"
"267","P079032","describes project components including key inputs outputs address sector issues highlighted annex","No map","No map.NA"
"268","P079032","cities evaluated set absolute minimum criteria focused financial performance municipal administration cs providers","No map","No map.NA"
"269","P079032","cities evaluated set absolute minimum criteria focused financial performance municipal adminstration cs providers table","No map","No map.NA"
"270","P079032","bank team capture project benefits jointly government officials intensively politically influential stakeholders develop objective methodology failure apply consistent competitive selection participating municipalities approach selection evaluation reform results","SDG 16","SDG 16.8"
"271","P079032","financial viability communal services providers improved accountability increased","No map","No map.NA"
"272","P079032","firstly financial viability communal services providers improved accountability increased","No map","No map.NA"
"273","P079032","flexibility project design","No map","No map.NA"
"274","P079032","flexibility adjust information changing circumstances implementation required ensure efficiency reform strategy","SDG 7","SDG 7.3"
"275","P079032","flow funds project centralized","No map","No map.NA"
"276","P079032","complete description implementation arrangements annex","No map","No map.NA"
"277","P079032","details flow funds component refer internal control section","No map","No map.NA"
"278","P079032","contract financed loan procurement methods consultant selection methods pre qualification estimated costs prior review requirements time frame agreed borrower bank procurement plan","No map","No map.NA"
"279","P079032","period expected project cash generated investment estimated cash outlays sustain project evaluated derive net cash flow figure","SDG 17","SDG 17.5"
"280","P079032","municipalitys population receive treated water required water purchase vendors buy bottled water cost savings realized improved service quality existing cost alternatives preserve quality water","SDG 6","SDG 6.3"
"281","P079032","avoid caused intermittent heat supply customers rely alternative sources heat generation electricity","SDG 12","SDG 12.3"
"282","P079032","longrun marginal cost heat supply computed production costs boiler house","SDG 12","SDG 12.1"
"283","P079032","instance heat loads density typically percent capacity","No map","No map.NA"
"284","P079032","providers debt budgetary entities communal services accounts portion accounts receivable","SDG 17","SDG 17.4"
