"Project","Text","Target"
"100000","increased share women herder users measures relative increase participation women herders livestock trading independently result enhanced information market access livestock transport logistics platform","Biodiversity"
"100000","information flow supports market trade chain enables transactions branded visible product records transactions payments ensuring stable pricing mechanism ensures fair distribution chain herder fair animals carcasses","Biodiversity"
"100000","interventions focus lastmile connectivity complete missing links meat chain","Biodiversity"
"100000","investments activities focus roads aimags concentrations livestock freight flows meat concentrated","Biodiversity"
"100000","key unlocking economic potential mongolias livestock availability efficient terminals logistics services extend cold chain facilities add livestock products","Biodiversity"
"100000","exact scale scope land acquisition page turkey climate smart competitive agricultural growth project tucsap time exact locations project activities finalized","Biodiversity"
"100000","focus technologies suitable medium farm enterprises enhance supply chain coordination provision services farmers producer organizations agribusiness","Biodiversity"
"100000","format soil land information disseminated accessible users critical influence impacts","Biodiversity"
"100000","directorate agricultural reform trgm department soil conservation land assessment lead implementation subcomponent","Biodiversity"
"100000","directorate agricultural reform trgm lead implementation component","Biodiversity"
"100000","global food security index ranks turkey countries respect food security environment","Biodiversity"
"100000","grant windows producer organizations agribusinesses pother service providers facilitate access technologies related services farmers unable purchase effectively individual basis","Biodiversity"
"100000","governance unsustainable financing model indonesias power sector created growing risks requires urgent reforms improve plns operational financial performance accelerate energy transition","Climate mitigation"
"100000","governments ftpi ii favored coalbased generation broader strategic shift move imported oil reduce exposure fuel price fluctuations deploying indigenous energy sources","Climate mitigation"
"100000","climate information services generated initiatives increase productivity resilience participating farmers advising crop vulnerabilities informing decisions improve wateruse patterns irrigated advising optimal timing plantingharvesting based weather forecasts build capacity nms staff facilitating training midlevel technicians instrumentation climatology agrometeorology weather climate forecasting design establish system ensure linkages baims nms agrometeorological data systems communication system drawing contact information baims provide agroweather advisories eextension farmers","Climate mitigation"
"100000","climatesmart agriculture matching grants program subcomponent cresap uptake csa technologies promoted provision matching grants","Climate mitigation"
"100000","climatesensitive communicable diseases including dengue japanese encephalitis malaria typhus","Climate mitigation"
"100000","impacts climate change considered program design contributes climate change mitigation adaptation yrb line chinas nationally determined contributions ndcs","Climate mitigation"
"100000","economic internal rate return eirr project calculated period basecase scenarios carbon reduction benefits scenarios shadow price carbon","Climate mitigation"
"100000","eirr base percent withoutcarbonreductionbenefits scenario percent percent low shadow price carbon scenarios marginal carbon sequestration benefits estimatedrounded decimal","Climate mitigation"
"100000","eirr base percent withoutcarbonreductionbenefits scenario percent percent low shadow price carbon scenarios marginal carbon sequestration benefits estimatedrounded decimal","Climate mitigation"
"100000","eirr project calculated period basecase scenarios carbon reduction benefits scenarios shadow price carbon","Climate mitigation"
"100000","environmental social section details mitigation measures risk","Climate mitigation"
"100000","esmf measures screen assess manage mitigate application land due diligence procedure rpf includes voluntary land donation protocol application beneficiaries criteria mechanisms equal distribution information","Climate mitigation"
"100000","exact version provide detailed analysis postfarm gate ghgs emitted avoided agrovalue chain investments postharvest handling storage processing distribution","Climate mitigation"
"100000","indicator measures proportion civil servants onboarded civil servants registered karmayogi platform annual dopt spv system generated dopt spv completed courses es risk completed trainings management climate change related es risk management climate change","Climate mitigation"
"100000","guidance note low scenarios social cost carbon time scenario due positive net emission project","Climate mitigation"
"100000","implementation modern asset management practices local road network sustainable urban mobility plans ensure subsequent infrastructure investments sustainable","Climate mitigation"
"100000","ghg emissions reductions estimated subprojects information related onsite diesel generation","Climate mitigation"
"100000","impact achieving projects development outcomes moderate project design mitigation measures adopted project","Climate mitigation"
"100000","improved electricity service reliability contribute continuous functioning health facilities enable homebased virtual education critical covid response mitigation efforts","Climate mitigation"
"100000","eu turkeys biggest agrifood trade partner promoting climate action recently launched green deal highlights eus commitment tackling climate environmental challenges achieving carbon neutrality","Climate mitigation"
"100000","exante carbonbalance tool exact applied estimate ghg impact agricultural activities supported operation","Climate mitigation"
"100000","chennai program aims improve chennais livability productivity carbon footprint serve lighthousein experience program expected directly inform development approaches international energy agency iea india energy outlook","Climate mitigation"
"100000","outcome indicators measure achievement pdo","No map"
"100000","government plans world bank","No map"
"100000","grs ensures complaints received promptly reviewed address projectrelated concerns","No map"
"100000","hr strategy appears geared recruiting","No map"
"100000","icsc required team specialists supervise implementation cesmps","No map"
"100000","iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb","No map"
"100000","iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb","No map"
"100000","iesm consultant support pln monitoring implementation cesmps","No map"
"100000","iesm consultant support pln","No map"
"100000","indonesian economy recession time asian financial crisis due covid shock","No map"
"100000","borrower conducted stakeholder consultations","No map"
"100000","bsif piu charge aggregating analyzing data inclusion semiannual progress reports","No map"
"100000","bsif piu responsible coordination monitoring climatesmart matching grant program","No map"
"100000","bsif piu develop project manual incorporated pom","No map"
"100000","bsif piu responsibility","No map"
"100000","ceiling da variable based cash forecast ifrs dfil","No map"
"100000","cerc contingent financing mechanism belize access bank financing event eligible crisis emergency event","No map"
"100000","cerc contingent financing mechanism permit belize rapid access world bank support event eligible crisis emergency","No map"
"100000","cerc activated managed accordance applicable bank policies triggered government belize officially declared emergency provided statement justifying request activate emergency funding","No map"
"100000","characteristics infrastructure implemented subcomponent defined light projected temperature precipitation based national communication","No map"
"100000","representative cost data","No map"
"100000","respective mandates key stakeholders regard jkn health sector outcomes","No map"
"100000","responsibility data collection pdo intermediate outcome indicators listed annex","No map"
"100000","results monitoring evaluation","No map"
"100000","revenue membership class","No map"
"100000","revising basic benefit package","No map"
"100000","geographic boundary program includes counties municipalities xianyang tongchuan","No map"
"100000","gfmis mutual platform shared budget units fbs horizontally level government","No map"
"100000","government analyze potentials program building existing studies dpdpm","No map"
"100000","igf team responsible verification independent team conduct audits pforr","No map"
"100000","implementation measures strengthened integration pap","No map"
"100000","incubator targeted program aspects support dlr","No map"
"100000","indicator measures level citizen engagement reports planning managing consultation mpas","No map"
"100000","majority category southern african customs union sacu revenuesharing agreement oecd","No map"
"100000","mapping eccde service providers cover public private service providers country","No map"
"100000","mapping focus eccde services eswatini services exist","No map"
"100000","economic lives smallholder farmers analysis based household data countries httpswwwfaoorgieiepdf","No map"
"100000","efa considers project costs project outreach assumptions time appraisal january","No map"
"100000","efa integral projects system","No map"
"100000","emergence middle class occurred single generation","No map"
"100000","fiduciary risks considered substantial","No map"
"100000","design lot meets target","No map"
"100000","discount rate percent matches standard discount rate gog economic appraisals","No map"
"100000","division retain adequate staff unit head staff continue monitoring results","No map"
"100000","documents continuously updated reflect evolving implementation","No map"
"100000","draft rap sep disclosed incountry december draft lmp disclosed country january","No map"
"100000","economic indicators provided eirr economic net enpv","No map"
"100000","eia updated address requirements esf disclosed esia","No map"
"100000","es risk rated substantial","No map"
"100000","igot platform allowed scalingup training location staff","No map"
"100000","istm nodal agency developing operationalizing competency framework","No map"
"100000","principles design operation","No map"
"100000","principles design operation","No map"
"100000","format ifrs agreed gos bank attached pogm","No map"
"100000","format quarterly reports defined piu include updates project results indicators","No map"
"100000","formula ensures fair distribution resources priority poorer vulnerable lsgs","No map"
"100000","formula similar parameters instances subnational transfers","No map"
"100000","formula ensure fair distribution resources priority poorer vulnerable lsgs","No map"
"100000","grs ensures complaints received promptly reviewed address projectrelated concerns","No map"
"100000","es review highlighted findings","No map"
"100000","es risk rating project classified substantial","No map"
"100000","estimated costs include buffer stocks","No map"
"100000","existing systems assessed relevant requirements set esf ess","No map"
"100000","existing team national covid vaccination program coordination support unit responsible project","No map"
"100000","banks added technical advisory implementation support challenging reforms","No map"
"100000","body explore incentives women school idea children","No map"
"100000","cash benefits transferred beneficiaries managed jai bangla portal centralized portal schemes","No map"
"100000","exception approved rvp march","No map"
"100000","expenditure program addresses infrastructure service delivery requirements parallel basis","No map"
"100000","expenses stood inr crores","No map"
"100000","tranche budget fund flow transferred conditions finance department","No map"
"100000","fiscal deficit increased percent gsdp fy estimated increased percent fy","No map"
"100000","fiveyear business plan performancebased payments household connections tourists services","No map"
"100000","fmm prescribes annual internal audit ca firm lays terms reference audit","No map"
"100000","fmm prescribes quarterly financial reports prepared","No map"
"100000","borrower furnish bank project report fortyfive days calendar semester covering calendar semester","No map"
"100000","grs ensures complaints received promptly reviewed address projectrelated concerns","No map"
"100000","ifrs submitted bank days reporting quarter","No map"
"100000","financial analysis representative sample selected subprojects financed project viable","No map"
"100000","financial analysis discount rate percent","No map"
"100000","financial institution fideicomiso issue account statement verification monitoring purpose","No map"
"100000","financial internal rate return firr estimated financial cash flows discounted rate percent npv","No map"
"100000","financial management fm arrangements","No map"
"100000","firr projects net financial benefits estimated million","No map"
"100000","fm arrangements project straightforward","No map"
"100000","fm residual risk project moderate","No map"
"100000","fm specialist considered key staff hired days project effectiveness date","No map"
"100000","fma recommends set mitigating measures address main financial management challenges","No map"
"100000","table summarizes mitigation actions proposed procurementrelated risks table","No map"
"100000","table summarizes mitigation actions proposed procurementrelated risks table ab","No map"
"100000","grs ensures complaints received promptly reviewed address projectrelated concerns","No map"
"100000","ifrs prepared local currency dollars submitted wb piu semiannual basis days calendar semester","No map"
"100000","exchange rate converting turkish lira tl dollar average registered","No map"
"100000","financial management arrangements project moderately satisfactory","No map"
"100000","findings assessment inform project activities","No map"
"100000","set audit reports submitted bank june calendar disbursement loan grant","No map"
"100000","action plan identified stage table","No map"
"100000","lessons learned reflected project design","No map"
"100000","paragraphs review considerations led rating","No map"
"100000","table summarizes audit requirements project table","No map"
"100000","format contents ifrs agreed bank attached minutes negotiation","No map"
"100000","gds responsible submitting payment supporting documents moafs accounting officer sayman initial review confirmation provided pcu fm unit assignment transaction","No map"
"100000","gds responsible stages procurement verification receipt services preparation supporting documentation payments","No map"
"100000","gds proceed stage procurement process including contract awarding satisfactory resolution complaints","No map"
"100000","gds assign procurement staff months current qualified staff effectiveness","No map"
"100000","contract minimum duration","No map"
"100000","contracts include kpis incentives penalties reflect quality delivery private bus service providers","No map"
"100000","costbenefit analysis includes benefits sector andor intervention","No map"
"100000","covid pandemic affected economic activity significantly","No map"
"100000","covid pandemic exacerbated vulnerabilities traditionally excluded youth women","No map"
"100000","csusp designed pforr incentivizes results features worth highlighting","No map"
"100000","data consolidated submitted report iva annual basis relevant backup information links","No map"
"100000","department functional grm","No map"
"100000","dlis designed transversally supportive compatible sectors serve reinforce program objective","No map"
"100000","governments focus strengthening human capital supported global evidence","No map"
"100000","grs ensures complaints received promptly reviewed address pertinent concerns","No map"
"100000","guiding principle dlrs objective bringing transformational change","No map"
"100000","hand software developer agency finalized","No map"
"100000","relationship cpscpf rationale instrument","No map"
"100000","cost sharing introduced health services prone moral hazard abuse","No map"
"100000","studies assess effectiveness decision support technologies","No map"
"100000","pforr ensures patients receive minimum quality standards socioeconomic background","No map"
"100000","section iii schedule loan agreement","No map"
"100000","sector strategies policies substantial","No map"
"100000","dlis directly reflected results framework","No map"
"100000","government institutions combat fraud corruption","No map"
"100000","government program articulated yrb plan issued october","No map"
"100000","governments program consists highlevel yrb plan provincial programs henan shaanxi provinces yrcc plan","No map"
"100000","government program include policy interventions investments granted based potentials region","No map"
"100000","government program pilot mode interministerial vertical coordination line ndm consistent concept","No map"
"100000","indicator elements msmes established description existing msmes transformed incubator program","No map"
"100000","moet rolling curriculum primary grades promising approach teaching reading mathematics","No map"
"100000","moet primary implementing agency responsible coordination implementation project","No map"
"100000","moet ps accountable minister moet matters related project implementation process","No map"
"100000","economic rebound covid moderated covid delta wave","No map"
"100000","esia rap projectfinanced highway section prepared consulting teams reviewed disclosed consulted","No map"
"100000","institutional capacity implementation sustainability risk assessed substantial","No map"
"100000","funds grants flow da rsd account separate lsg rsd accounts lsgs local treasury grant related purposes","No map"
"100000","global covid pandemic significant impact public finances","No map"
"100000","ifc expected play key role analytics expertise","No map"
"100000","ifrs due days quarter","No map"
"100000","ifrs cover world bank afd financing","No map"
"100000","committee published report nonpersonal data governance framework","No map"
"100000","comptroller auditor cag india carries compliance audits annually auditrelated queries","No map"
"100000","consultancy services nature studies preparation manuals training modules implementation solutions","No map"
"100000","cost broad government reform program fy estimated billion","No map"
"100000","critical importance womens empowerment development recognized","No map"
"100000","design pforr program builds recent analytics reviews social protection systems","No map"
"100000","development roll jai bangla require technical assistance","No map"
"100000","draft essa disclosed government website november banks external website october","No map"
"100000","expected recovery india worlds fastestgrowing economies","No map"
"100000","feedback obtained workshop refine finalize essa","No map"
"100000","figure assessment sjpnl details annex","No map"
"100000","finance department devised checklists verifying contractor vendor bills checklists fmm","No map"
"100000","finance function headed finance manager","No map"
"100000","finance section compiles budget board directors approval","No map"
"100000","financial statements audited january","No map"
"100000","financing goi expected rise significantly","No map"
"100000","audited project financial statements shared bank december months close financial","No map"
"100000","borrower provide promptly funds facilities services resources required project","No map"
"100000","cag agreed standard terms reference projects india audit project activities dof","No map"
"100000","cofinanciers project afd apply world bank esf project financing","No map"
"100000","hub openaccess midmarket service competing abattoirs auctioneers traders rent capacity storage space","No map"
"100000","frequency visits determined accordance projects risk rating monitored lifetime","No map"
"100000","gleam tool account impacts improvements veterinary health surveillance medical products","No map"
"100000","government responded swiftly covid economic stimulus program represented gdp","No map"
"100000","cag carries compliance performance audits annually","No map"
"100000","human capital delivery system recurrent challenge gender disparities","No map"
"100000","indicator measures citizen engagement sesa services","No map"
"100000","information disaggregated aid sesa perform job matching services","No map"
"100000","information public procurement etendersgovge webpage bidders parties","No map"
"100000","irssp include data warehouse collects information social programs benefits administration systems","No map"
"100000","doh review plans ensure prioritize highimpact interventions consistent ppan project objectives","No map"
"100000","doh nnc develop countrys nutrition policies supports nncs efforts implementing ppan","No map"
"100000","dohs regional offices lgus accumulated experience similar procurements past","No map"
"100000","dohs regional offices lgus pbg recipients experience similar procurements projectsprograms","No map"
"100000","dswd doh lead implementing agencies","No map"
"100000","dswd doh forecast cash project sixmonth period submit withdrawal application bank","No map"
"100000","dswd doh maintain separate mds peso project account land bank philippines","No map"
"100000","focus platforms reducing inefficiencies cost standardizing management evaluation federal programs promoting equity offering education solutions public schools iii","No map"
"100000","forthcoming brazilian human capital review calculates hci brazil estimates average brazilian born expected achieve percent hisher potential similar argentina colombia","No map"
"100000","government relied heavily stateowned enterprise soes deliver infrastructure agenda providing capital injections guarantees","No map"
"100000","government suspended percent gdp deficit ceiling implemented covid fiscal response package amounting percent gdp","No map"
"100000","icsc provide guidance technical design construction social environmental aspects construction period ii economic financial analysis","No map"
"100000","implementation support plan staff skills mix summarized table table","No map"
"100000","beneficiaries matching grants subcomponent benefit technical support preparing matching grant proposals subcomponent beneficiaries matching grants infrastructure subcomponents subcomponents beneficiaries eextension services delivered component","No map"
"100000","borrower mafse bsif pfis enter agreements participation agreements beneficiaries pfi provide beneficiary matching grant finance csa investment manner acceptable bank basis model satisfactory bank set mgom","No map"
"100000","borrower mafse establish maintain project implementation approval committee matching grant approval committee composition functions responsibilities satisfactory bank set matching grant operations manual mgom","No map"
"100000","citizen engagement process continue employ variety tools focus interviews client surveys digital communication channels whatsapp facebook messenger teams zoom webex google meet phone calls text messages personal interactions strict regard covid physical distancing rules reach audiences ensure opportunities twoway dialogue closing feedback loop","No map"
"100000","cost daily farm labor bz based minimum salary scale ongoing influence supply demand","No map"
"100000","rejected claims claims manual distinguish reasons claim rejected","No map"
"100000","report pad international bank reconstruction development program appraisal document proposed loan amount million republic indonesia national health insurance jkn reforms results program programforresults november health nutrition population global practice east asia pacific region document restricted distribution recipients performance official duties","No map"
"100000","reporting compliance strong financial incentive providers submit required forms reimbursed","No map"
"100000","results framework matrix results framework country indonesia national health insurance jkn reforms results program program development objectives program development objective strengthen quality efficiency indonesias national health insurance program","No map"
"100000","results logic challenges activities outputs outcomes ra strengthening quality care providers unable draft clinical moh developed improved patient diagnose common pathwaysprocesses clinical decision satisfaction pdo conditions care common support tool fktps improved provider diabetes hypertension conditions","No map"
"100000","revealing missing link private sector supplyside readiness primary maternal health services indonesia","No map"
"100000","bus system flat declining ridership due factors bus fleet quality poor intermodal linkages fragmented fare system poor rider engagement","No map"
"100000","irrsp include reporting business intelligence page georgia human capital program statistics tools assist forecasting","No map"
"100000","dswd implementing world bankassisted projects familiar bank requirements maintenance acceptable fm arrangements","No map"
"100000","dswd implementing world bankassisted projects familiar world bank requirements maintenance acceptable fm arrangements","No map"
"100000","digitalization public services training public staff digital skills develop local capacity transition congo digital government","No map"
"100000","role partners program implementation institutioncountry role usaid dfat united nations indonesia coordinated technical assistance moh childrens fund key stakeholders bmgf seattledelhi cofinancing page national health insurance jkn reforms results program annex","No map"
"100000","sections description months effective date date agreed bank borrower borrower establish maintain pie establish maintain times implementation program entities staff functions resources satisfactory bank steering committee consisting echelon officials bappenas bpjsk djsn kemenko pmk mof moh moha board bpjsk djsn responsible providing policy guidance oversight program implementation inter alia setting policy annual targets reviewing progress performance resolving specific issues required","No map"
"100000","sections description explicitly required permitted agreement explicitly requested bank sharing information report document related activities schedule agreement borrower ensure pie ensure information report document include personal data","No map"
"100000","sections description month effective date date agreed bank borrower borrower appoint bpkp act independent verification agent undertake dlr verification process accordance terms reference acceptable bank section schedule loan agreement","No map"
"100000","sectoral multisectoral institutional context health sector context","No map"
"100000","service verification include checks carried assessing coding accuracy diagnosis procedure codes genders age diagnosis procedure combinations incorrect rare unusual diagnosis codes analytics methods identify red flags trigger indepth manual review based outlier analysis","No map"
"100000","fm capacity deemed acceptable world bank program fm","No map"
"100000","activities excluded estimated cost million equivalent contract nonconsulting services estimated cost million equivalent contract consulting services estimated cost million equivalent contract","No map"
"100000","fsa assessed pfm system public procurement system governance key program implementing agencies line agencies","No map"
"100000","fsa program concludes fiduciary systems proposed mitigation measures provide reasonable assurance program financing proceeds intended purpose due attention principles economy efficiency effectiveness transparency accountability","No map"
"100000","fsa conducted world banks policy pforr related directives identified key fiduciary risks affect programs development outcomes recommended system improvement capacity strengthening mitigation measures implemented life program","No map"
"100000","funding allocation rules henan province shaanxi province provide strong incentives counties achieve desirable objects set provincial governments ensure money","No map"
"100000","implementation arrangements resultsbased financing incentivizes action sector agencies mitigate risk pap action related monitoring reporting mechanisms meaningful public participation grievance redress","No map"
"100000","implementation program require continuous support attention world bank team relation lending instrument technical innovations","No map"
"100000","implementing agencies prepare final accounts reports financial reports annual basis","No map"
"100000","implementing agencies report world bank contracts program implementation","No map"
"100000","government program consistent provisions article finance law defines investment expenditures allocated strategic development plans multiyear programs protect national heritage","No map"
"100000","government program replicate coordination approach regional level seeking convergence interventions ministerial departments involving regional actors","No map"
"100000","government program interministerial commission main functions facilitate investments strengthen coordinated information consultation decisionmaking functions","No map"
"100000","government budget execution procedures transfer contribution program treasury bank account managed public accountant assigned mef participating program","No map"
"100000","grs ensures complaints received promptly reviewed address pertinent concerns","No map"
"100000","implementa plans include tion identification physical consultations activities engagement stakeholders including vulnerable","No map"
"100000","implementation arrangements support plan focuses actions world bank perform terms skills resources","No map"
"100000","implementation arrangements support plan conducted line world banks implementation support guidelines pforr operations adapted design risk profile program","No map"
"100000","implementing entities subject procurement planning requirements included ppd procurement regulations","No map"
"100000","indicator measures piu collects data dpdpmanda women progress training women annual anda dpdpm mefpiu mteddd address mteddd page gender gaps consolidates total employment","No map"
"100000","major planned procurement includes ta support development implementation interventions ii procurement eccde teaching learning materials indoor outdoor activities iii procurement development training manualsmodules teachers english siswati mathematics grades iv procurement training materials teachers procurement learning resources interactive projectors whiteboards software ancillary equipment vi ta support implementation ictenabled teaching learning mathematics science programs development specifications procurement equipment viii ta strengthening project implementation unit","No map"
"100000","mapping form basis moving systematized process monitoring coordination subsector data consolidated moet emis system","No map"
"100000","mms beneficiaries targeted schools indicator tracked mobile monitoring beneficiaries survey system mms representative sample schools","No map"
"100000","model successfully implemented countries region shown positive results terms improved quality classroom instruction levels student learning","No map"
"100000","model tested targeted eccde centers existing grade classrooms lay foundation comprehensively improve eccde service delivery ultimately child development outcomes eswatini","No map"
"100000","moet developed learner books teacher guides mathematics english siswati grades imminent materials revised","No map"
"100000","moet seconded staff shadow projecthired specialists build skills capacity respective fields aim moet staff taking key roles gradually","No map"
"100000","moet chief inspector primary education chief inspector secondary education responsible leading coordinating component interventions targeted primary secondary schools","No map"
"100000","moet supported psu housed moet accountable principal secretary ps moet director education moet","No map"
